command,status,message
report_power,UNAVAILABLE,"invalid command name ""redirect"""
report_operating_conditions,UNAVAILABLE,"invalid command name ""redirect"""
report_switching_activity,UNAVAILABLE,"invalid command name ""redirect"""
report_clock_networks,UNAVAILABLE,"invalid command name ""redirect"""
report_clocks,UNAVAILABLE,"invalid command name ""redirect"""
report_io,UNAVAILABLE,"invalid command name ""redirect"""
get_iobanks,UNAVAILABLE,"invalid command name ""redirect"""
get_power_rails,UNAVAILABLE,"invalid command name ""redirect"""
report_property,UNAVAILABLE,"invalid command name ""redirect"""
list_property,UNAVAILABLE,"invalid command name ""redirect"""
open_report,UNAVAILABLE,"invalid command name ""redirect"""
report_objects,UNAVAILABLE,"invalid command name ""redirect"""
report_utilization,UNAVAILABLE,"invalid command name ""redirect"""
report_ssn,UNAVAILABLE,"invalid command name ""redirect"""
get_clocks,UNAVAILABLE,"invalid command name ""redirect"""
all_registers,UNAVAILABLE,"invalid command name ""redirect"""
get_cells,UNAVAILABLE,"invalid command name ""redirect"""
get_ports,UNAVAILABLE,"invalid command name ""redirect"""
get_pins,UNAVAILABLE,"invalid command name ""redirect"""
get_nets,UNAVAILABLE,"invalid command name ""redirect"""
open_checkpoint,UNAVAILABLE,"invalid command name ""redirect"""
close_design,UNAVAILABLE,"invalid command name ""redirect"""
