command,status,message
report_power,UNAVAILABLE,"ERROR: [Common 17-170] Unknown option '-output', please type 'help -help' for usage info. "
report_operating_conditions,UNAVAILABLE,"ERROR: [Common 17-170] Unknown option '-output', please type 'help -help' for usage info. "
report_switching_activity,UNAVAILABLE,"ERROR: [Common 17-170] Unknown option '-output', please type 'help -help' for usage info. "
report_clock_networks,UNAVAILABLE,"ERROR: [Common 17-170] Unknown option '-output', please type 'help -help' for usage info. "
report_clocks,UNAVAILABLE,"ERROR: [Common 17-170] Unknown option '-output', please type 'help -help' for usage info. "
report_io,UNAVAILABLE,"ERROR: [Common 17-170] Unknown option '-output', please type 'help -help' for usage info. "
get_iobanks,UNAVAILABLE,"ERROR: [Common 17-170] Unknown option '-output', please type 'help -help' for usage info. "
get_power_rails,UNAVAILABLE,"ERROR: [Common 17-170] Unknown option '-output', please type 'help -help' for usage info. "
report_property,UNAVAILABLE,"ERROR: [Common 17-170] Unknown option '-output', please type 'help -help' for usage info. "
list_property,UNAVAILABLE,"ERROR: [Common 17-170] Unknown option '-output', please type 'help -help' for usage info. "
open_report,UNAVAILABLE,"ERROR: [Common 17-170] Unknown option '-output', please type 'help -help' for usage info. "
report_objects,UNAVAILABLE,"ERROR: [Common 17-170] Unknown option '-output', please type 'help -help' for usage info. "
report_utilization,UNAVAILABLE,"ERROR: [Common 17-170] Unknown option '-output', please type 'help -help' for usage info. "
report_ssn,UNAVAILABLE,"ERROR: [Common 17-170] Unknown option '-output', please type 'help -help' for usage info. "
get_clocks,UNAVAILABLE,"ERROR: [Common 17-170] Unknown option '-output', please type 'help -help' for usage info. "
all_registers,UNAVAILABLE,"ERROR: [Common 17-170] Unknown option '-output', please type 'help -help' for usage info. "
get_cells,UNAVAILABLE,"ERROR: [Common 17-170] Unknown option '-output', please type 'help -help' for usage info. "
get_ports,UNAVAILABLE,"ERROR: [Common 17-170] Unknown option '-output', please type 'help -help' for usage info. "
get_pins,UNAVAILABLE,"ERROR: [Common 17-170] Unknown option '-output', please type 'help -help' for usage info. "
get_nets,UNAVAILABLE,"ERROR: [Common 17-170] Unknown option '-output', please type 'help -help' for usage info. "
open_checkpoint,UNAVAILABLE,"ERROR: [Common 17-170] Unknown option '-output', please type 'help -help' for usage info. "
close_design,UNAVAILABLE,"ERROR: [Common 17-170] Unknown option '-output', please type 'help -help' for usage info. "
