command,status,message
report_power,AVAILABLE,""
report_operating_conditions,AVAILABLE,""
report_switching_activity,AVAILABLE,""
report_clock_networks,AVAILABLE,""
report_clocks,AVAILABLE,""
report_io,AVAILABLE,""
get_iobanks,AVAILABLE,""
get_power_rails,AVAILABLE,""
report_property,AVAILABLE,""
list_property,AVAILABLE,""
open_report,AVAILABLE,""
report_objects,AVAILABLE,""
report_utilization,AVAILABLE,""
report_ssn,AVAILABLE,""
get_clocks,AVAILABLE,""
all_registers,AVAILABLE,""
get_cells,AVAILABLE,""
get_ports,AVAILABLE,""
get_pins,AVAILABLE,""
get_nets,AVAILABLE,""
open_checkpoint,AVAILABLE,""
close_design,AVAILABLE,""
