"IMAGE_ROLE","RAW_CLOCK_NAME","SOURCE_PIN_OR_PORT","PERIOD_NS","FREQUENCY_MHZ","FANOUT","CLOCK_NETWORK_POWER_W","CONFIDENCE","ACTIVITY_BASIS","REPORT_SECTION","DEPTH","IS_SUMMARY_ROOT","NORMALIZED_DOMAIN","POWER_VALUE_W","POWER_LOWER_BOUND_W","POWER_UPPER_BOUND_EXCLUSIVE_W","REPORT_RESOLUTION_W","SOURCE_FILE","SOURCE_LINE"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_PHYSICAL_FRONTEND/idelay_mmcm_feedback_unbuf","ROOT_NOT_EXPLICIT_IN_REPORT_POWER","6.734007","148.500000","2","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","0","True","NVP_VIDEO","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","264"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_PHYSICAL_FRONTEND/idelay_mmcm_feedback","CHILD_CLOCK_NETWORK_ROW","6.734007","148.500000","1","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","265"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_PHYSICAL_FRONTEND/idelay_mmcm_feedback_unbuf","CHILD_CLOCK_NETWORK_ROW","6.734007","148.500000","1","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","266"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_PHYSICAL_FRONTEND/u_idelay_feedback_bufg","CHILD_CLOCK_NETWORK_ROW","6.734007","148.500000","1","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","267"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_PHYSICAL_FRONTEND/idelay_refclk_unbuf","ROOT_NOT_EXPLICIT_IN_REPORT_POWER","5.050505","198.000000","7","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","0","True","NVP_VIDEO","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","268"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_PHYSICAL_FRONTEND/idelay_refclk","CHILD_CLOCK_NETWORK_ROW","5.050505","198.000000","6","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","269"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_PHYSICAL_FRONTEND/idelay_refclk_unbuf","CHILD_CLOCK_NETWORK_ROW","5.050505","198.000000","1","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","270"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_PHYSICAL_FRONTEND/u_idelay_refclk_bufg","CHILD_CLOCK_NETWORK_ROW","5.050505","198.000000","6","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","271"
"FORMAL_PHASE2_FAIL_CONTROL","sys_clk_p","ROOT_NOT_EXPLICIT_IN_REPORT_POWER","10.000000","100.000000","13","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","0","True","PCIE_REFERENCE_OR_GT_CLOCKING","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","272"
"FORMAL_PHASE2_FAIL_CONTROL","pcie_refclk","CHILD_CLOCK_NETWORK_ROW","10.000000","100.000000","2","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","273"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_REFCLK_IBUF","CHILD_CLOCK_NETWORK_ROW","10.000000","100.000000","2","0.000","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","0.000000","0.000000","0.000000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","274"
"FORMAL_PHASE2_FAIL_CONTROL","sys_clk_p","CHILD_CLOCK_NETWORK_ROW","10.000000","100.000000","1","0.000","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","0.000000","0.000000","0.000000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","275"
