object_class,object_name,property,value
"IO_CELL","nvp_en_vdd1x_OBUF_inst","C_ATS_SWITCH_UNIQUE_BDF","UNSET"
"IO_CELL","nvp_en_vdd1x_OBUF_inst","C_EST_POWER_SUMMARY","UNSET"
"IO_CELL","nvp_en_vdd1x_OBUF_inst","C_POWER_SAVING_MODE","UNSET"
"IO_CELL","nvp_en_vdd1x_OBUF_inst","ENABLE_ATS_SWITCH","UNSET"
"IO_CELL","nvp_en_vdd1x_OBUF_inst","POWER_OPTED_CE","UNSET"
"IO_CELL","nvp_en_vdd1x_OBUF_inst","USER_RAM_AVERAGE_ACTIVITY","UNSET"
"IO_CELL","nvp_en_vdd3x_OBUF_inst","C_ATS_SWITCH_UNIQUE_BDF","UNSET"
"IO_CELL","nvp_en_vdd3x_OBUF_inst","C_EST_POWER_SUMMARY","UNSET"
"IO_CELL","nvp_en_vdd3x_OBUF_inst","C_POWER_SAVING_MODE","UNSET"
"IO_CELL","nvp_en_vdd3x_OBUF_inst","ENABLE_ATS_SWITCH","UNSET"
"IO_CELL","nvp_en_vdd3x_OBUF_inst","POWER_OPTED_CE","UNSET"
"IO_CELL","nvp_en_vdd3x_OBUF_inst","USER_RAM_AVERAGE_ACTIVITY","UNSET"
"IO_CELL","nvp_rst_OBUF_inst","C_ATS_SWITCH_UNIQUE_BDF","UNSET"
"IO_CELL","nvp_rst_OBUF_inst","C_EST_POWER_SUMMARY","UNSET"
"IO_CELL","nvp_rst_OBUF_inst","C_POWER_SAVING_MODE","UNSET"
"IO_CELL","nvp_rst_OBUF_inst","ENABLE_ATS_SWITCH","UNSET"
"IO_CELL","nvp_rst_OBUF_inst","POWER_OPTED_CE","UNSET"
"IO_CELL","nvp_rst_OBUF_inst","USER_RAM_AVERAGE_ACTIVITY","UNSET"
"IO_CELL","NVP_SCL_IOBUF","C_ATS_SWITCH_UNIQUE_BDF","UNSET"
"IO_CELL","NVP_SCL_IOBUF","C_EST_POWER_SUMMARY","UNSET"
"IO_CELL","NVP_SCL_IOBUF","C_POWER_SAVING_MODE","UNSET"
"IO_CELL","NVP_SCL_IOBUF","ENABLE_ATS_SWITCH","UNSET"
"IO_CELL","NVP_SCL_IOBUF","POWER_OPTED_CE","UNSET"
"IO_CELL","NVP_SCL_IOBUF","USER_RAM_AVERAGE_ACTIVITY","UNSET"
"IO_CELL","NVP_SDA_IOBUF","C_ATS_SWITCH_UNIQUE_BDF","UNSET"
"IO_CELL","NVP_SDA_IOBUF","C_EST_POWER_SUMMARY","UNSET"
"IO_CELL","NVP_SDA_IOBUF","C_POWER_SAVING_MODE","UNSET"
"IO_CELL","NVP_SDA_IOBUF","ENABLE_ATS_SWITCH","UNSET"
"IO_CELL","NVP_SDA_IOBUF","POWER_OPTED_CE","UNSET"
"IO_CELL","NVP_SDA_IOBUF","USER_RAM_AVERAGE_ACTIVITY","UNSET"
"IO_CELL","pci_exp_rxn[0]_IBUF_inst","C_ATS_SWITCH_UNIQUE_BDF","UNSET"
"IO_CELL","pci_exp_rxn[0]_IBUF_inst","C_EST_POWER_SUMMARY","UNSET"
"IO_CELL","pci_exp_rxn[0]_IBUF_inst","C_POWER_SAVING_MODE","UNSET"
"IO_CELL","pci_exp_rxn[0]_IBUF_inst","ENABLE_ATS_SWITCH","UNSET"
"IO_CELL","pci_exp_rxn[0]_IBUF_inst","POWER_OPTED_CE","UNSET"
"IO_CELL","pci_exp_rxn[0]_IBUF_inst","USER_RAM_AVERAGE_ACTIVITY","UNSET"
"IO_CELL","pci_exp_rxp[0]_IBUF_inst","C_ATS_SWITCH_UNIQUE_BDF","UNSET"
"IO_CELL","pci_exp_rxp[0]_IBUF_inst","C_EST_POWER_SUMMARY","UNSET"
"IO_CELL","pci_exp_rxp[0]_IBUF_inst","C_POWER_SAVING_MODE","UNSET"
"IO_CELL","pci_exp_rxp[0]_IBUF_inst","ENABLE_ATS_SWITCH","UNSET"
"IO_CELL","pci_exp_rxp[0]_IBUF_inst","POWER_OPTED_CE","UNSET"
"IO_CELL","pci_exp_rxp[0]_IBUF_inst","USER_RAM_AVERAGE_ACTIVITY","UNSET"
"IO_CELL","pci_exp_txn[0]_OBUF_inst","C_ATS_SWITCH_UNIQUE_BDF","UNSET"
"IO_CELL","pci_exp_txn[0]_OBUF_inst","C_EST_POWER_SUMMARY","UNSET"
"IO_CELL","pci_exp_txn[0]_OBUF_inst","C_POWER_SAVING_MODE","UNSET"
"IO_CELL","pci_exp_txn[0]_OBUF_inst","ENABLE_ATS_SWITCH","UNSET"
"IO_CELL","pci_exp_txn[0]_OBUF_inst","POWER_OPTED_CE","UNSET"
"IO_CELL","pci_exp_txn[0]_OBUF_inst","USER_RAM_AVERAGE_ACTIVITY","UNSET"
"IO_CELL","pci_exp_txp[0]_OBUF_inst","C_ATS_SWITCH_UNIQUE_BDF","UNSET"
"IO_CELL","pci_exp_txp[0]_OBUF_inst","C_EST_POWER_SUMMARY","UNSET"
"IO_CELL","pci_exp_txp[0]_OBUF_inst","C_POWER_SAVING_MODE","UNSET"
"IO_CELL","pci_exp_txp[0]_OBUF_inst","ENABLE_ATS_SWITCH","UNSET"
"IO_CELL","pci_exp_txp[0]_OBUF_inst","POWER_OPTED_CE","UNSET"
"IO_CELL","pci_exp_txp[0]_OBUF_inst","USER_RAM_AVERAGE_ACTIVITY","UNSET"
"IO_CELL","sys_clk_n_IBUF_inst","C_ATS_SWITCH_UNIQUE_BDF","UNSET"
"IO_CELL","sys_clk_n_IBUF_inst","C_EST_POWER_SUMMARY","UNSET"
"IO_CELL","sys_clk_n_IBUF_inst","C_POWER_SAVING_MODE","UNSET"
"IO_CELL","sys_clk_n_IBUF_inst","ENABLE_ATS_SWITCH","UNSET"
"IO_CELL","sys_clk_n_IBUF_inst","POWER_OPTED_CE","UNSET"
"IO_CELL","sys_clk_n_IBUF_inst","USER_RAM_AVERAGE_ACTIVITY","UNSET"
"IO_CELL","sys_clk_p_IBUF_inst","C_ATS_SWITCH_UNIQUE_BDF","UNSET"
"IO_CELL","sys_clk_p_IBUF_inst","C_EST_POWER_SUMMARY","UNSET"
