object_class,object_name,property,value
"IO_CELL","nvp_en_vdd1x_OBUF_inst","POWER_OPTED_CE","UNSET"
"IO_CELL","nvp_en_vdd1x_OBUF_inst","USER_RAM_AVERAGE_ACTIVITY","UNSET"
"IO_CELL","nvp_en_vdd3x_OBUF_inst","POWER_OPTED_CE","UNSET"
"IO_CELL","nvp_en_vdd3x_OBUF_inst","USER_RAM_AVERAGE_ACTIVITY","UNSET"
"IO_CELL","nvp_rst_OBUF_inst","POWER_OPTED_CE","UNSET"
"IO_CELL","nvp_rst_OBUF_inst","USER_RAM_AVERAGE_ACTIVITY","UNSET"
"IO_CELL","nvp_scl_iobuf","POWER_OPTED_CE","UNSET"
"IO_CELL","nvp_scl_iobuf","USER_RAM_AVERAGE_ACTIVITY","UNSET"
"IO_CELL","nvp_sda_iobuf","POWER_OPTED_CE","UNSET"
"IO_CELL","nvp_sda_iobuf","USER_RAM_AVERAGE_ACTIVITY","UNSET"
"IO_CELL","pci_exp_rxn[0]_IBUF_inst","POWER_OPTED_CE","UNSET"
"IO_CELL","pci_exp_rxn[0]_IBUF_inst","USER_RAM_AVERAGE_ACTIVITY","UNSET"
"IO_CELL","pci_exp_rxp[0]_IBUF_inst","POWER_OPTED_CE","UNSET"
"IO_CELL","pci_exp_rxp[0]_IBUF_inst","USER_RAM_AVERAGE_ACTIVITY","UNSET"
"IO_CELL","pci_exp_txn[0]_OBUF_inst","POWER_OPTED_CE","UNSET"
"IO_CELL","pci_exp_txn[0]_OBUF_inst","USER_RAM_AVERAGE_ACTIVITY","UNSET"
"IO_CELL","pci_exp_txp[0]_OBUF_inst","POWER_OPTED_CE","UNSET"
"IO_CELL","pci_exp_txp[0]_OBUF_inst","USER_RAM_AVERAGE_ACTIVITY","UNSET"
"IO_CELL","sys_clk_n_IBUF_inst","POWER_OPTED_CE","UNSET"
"IO_CELL","sys_clk_n_IBUF_inst","USER_RAM_AVERAGE_ACTIVITY","UNSET"
"IO_CELL","sys_clk_p_IBUF_inst","POWER_OPTED_CE","UNSET"
"IO_CELL","sys_clk_p_IBUF_inst","USER_RAM_AVERAGE_ACTIVITY","UNSET"
"IO_CELL","sys_reset_n_ibuf","POWER_OPTED_CE","UNSET"
"IO_CELL","sys_reset_n_ibuf","USER_RAM_AVERAGE_ACTIVITY","UNSET"
