port,package_pin,iobank,direction,iostandard,drive,slew,pulltype,in_term,diff_term,clock_association
"nvp_en_vdd1x","A9","15","OUT","LVCMOS33","12","SLOW","UNSET","NONE","0","NONE_PROVEN"
"nvp_en_vdd3x","A10","15","OUT","LVCMOS33","12","SLOW","UNSET","NONE","0","NONE_PROVEN"
"nvp_mpp[0]","V16","14","IN","LVCMOS33","UNSET","UNSET","UNSET","NONE","0","NONE_PROVEN"
"nvp_mpp[1]","V17","14","IN","LVCMOS33","UNSET","UNSET","UNSET","NONE","0","NONE_PROVEN"
"nvp_mpp[2]","U16","14","IN","LVCMOS33","UNSET","UNSET","UNSET","NONE","0","NONE_PROVEN"
"nvp_mpp[3]","U17","14","IN","LVCMOS33","UNSET","UNSET","UNSET","NONE","0","NONE_PROVEN"
"nvp_rst","R17","14","OUT","LVCMOS33","12","SLOW","UNSET","NONE","0","NONE_PROVEN"
"nvp_scl","T17","14","INOUT","LVCMOS33","12","SLOW","UNSET","NONE","0","NONE_PROVEN"
"nvp_sda","T18","14","INOUT","LVCMOS33","12","SLOW","UNSET","NONE","0","NONE_PROVEN"
"pci_exp_rxn[0]","G3","216","IN","UNSET","UNSET","UNSET","UNSET","UNSET","UNSET","NONE_PROVEN"
"pci_exp_rxp[0]","G4","216","IN","UNSET","UNSET","UNSET","UNSET","UNSET","UNSET","NONE_PROVEN"
"pci_exp_txn[0]","B1","216","OUT","UNSET","UNSET","UNSET","UNSET","UNSET","UNSET","NONE_PROVEN"
"pci_exp_txp[0]","B2","216","OUT","UNSET","UNSET","UNSET","UNSET","UNSET","UNSET","NONE_PROVEN"
"sys_clk_n","D5","216","IN","UNSET","UNSET","UNSET","UNSET","UNSET","UNSET","NONE_PROVEN"
"sys_clk_p","D6","216","IN","UNSET","UNSET","UNSET","UNSET","UNSET","UNSET","sys_clk"
"sys_rst_n","C8","15","IN","LVCMOS33","UNSET","UNSET","PULLUP","NONE","0","NONE_PROVEN"
"vclk1","E13","15","IN","LVCMOS33","UNSET","UNSET","UNSET","NONE","0","nvp_vclk1"
"vdo1_data[0]","A14","15","IN","LVCMOS33","UNSET","UNSET","UNSET","NONE","0","NONE_PROVEN"
"vdo1_data[1]","B14","15","IN","LVCMOS33","UNSET","UNSET","UNSET","NONE","0","NONE_PROVEN"
"vdo1_data[2]","A15","15","IN","LVCMOS33","UNSET","UNSET","UNSET","NONE","0","NONE_PROVEN"
"vdo1_data[3]","B15","15","IN","LVCMOS33","UNSET","UNSET","UNSET","NONE","0","NONE_PROVEN"
"vdo1_data[4]","B16","15","IN","LVCMOS33","UNSET","UNSET","UNSET","NONE","0","NONE_PROVEN"
"vdo1_data[5]","A17","15","IN","LVCMOS33","UNSET","UNSET","UNSET","NONE","0","NONE_PROVEN"
"vdo1_data[6]","B17","15","IN","LVCMOS33","UNSET","UNSET","UNSET","NONE","0","NONE_PROVEN"
"vdo1_data[7]","C18","15","IN","LVCMOS33","UNSET","UNSET","UNSET","NONE","0","NONE_PROVEN"
