"IMAGE_ROLE","RAW_CLOCK_NAME","EXACT_CLOCK_OBJECT","NORMALIZED_DOMAIN","SOURCE_PIN_OR_PORT","PERIOD_NS","FREQUENCY_MHZ","REGISTER_CELL_COUNT","REPRESENTATIVE_SEQUENTIAL_SINKS","MAIN_HIERARCHY_COUNTS","REF_NAME_COUNTS","RAW_POWER_TOKEN","TRACE_METHOD"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_PHYSICAL_FRONTEND/idelay_mmcm_feedback_unbuf","idelay_mmcm_feedback_unbuf","NVP_VIDEO","NVP_PHYSICAL_FRONTEND/u_idelay_refclk_mmcm/CLKFBOUT","6.734","148.500000","0","","","","<0.001","REPORT_POWER_ROOT_MATCHED_TO_EXACT_GET_CLOCKS_SOURCE_AND_ALL_REGISTERS_CONNECTIVITY"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_PHYSICAL_FRONTEND/idelay_refclk_unbuf","idelay_refclk_unbuf","NVP_VIDEO","NVP_PHYSICAL_FRONTEND/u_idelay_refclk_mmcm/CLKOUT0","5.050","198.000000","5","NVP_PHYSICAL_FRONTEND/idelayctrl_reset_count_reg[0];NVP_PHYSICAL_FRONTEND/idelayctrl_reset_count_reg[1];NVP_PHYSICAL_FRONTEND/idelayctrl_reset_count_reg[2];NVP_PHYSICAL_FRONTEND/idelayctrl_reset_count_reg[3];NVP_PHYSICAL_FRONTEND/idelayctrl_reset_count_reg[4]_inv","NVP_PHYSICAL_FRONTEND=5","FDCE=4;FDPE=1","<0.001","REPORT_POWER_ROOT_MATCHED_TO_EXACT_GET_CLOCKS_SOURCE_AND_ALL_REGISTERS_CONNECTIVITY"
"FORMAL_PHASE2_FAIL_CONTROL","sys_clk_p","pcie_refclk_100","PCIE_REFERENCE_OR_GT_CLOCKING","sys_clk_p","10.000","100.000000","9","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].pipe_quad.gt_common_enabled.gt_common_int.gt_common_i/qpll_wrapper_i/cpllPDInst/cpllpd_wait_reg[31]_srl32;XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].pipe_quad.gt_common_enabled.gt_common_int.gt_common_i/qpll_wrapper_i/cpllPDInst/cpllpd_wait_reg[63]_srl32;XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].pipe_quad.gt_common_enabled.gt_common_int.gt_common_i/qpll_wrapper_i/cpllPDInst/cpllpd_wait_reg[94]_srl31;XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].pipe_quad.gt_common_enabled.gt_common_int.gt_common_i/qpll_wrapper_i/cpllPDInst/cpllpd_wait_reg[95];XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].pipe_quad.gt_common_enabled.gt_common_int.gt_common_i/qpll_wrapper_i/cpllPDInst/cpllreset_wait_reg[31]_srl32","XDMA=9","FDRE=2;SRLC32E=7","<0.001","REPORT_POWER_ROOT_MATCHED_TO_EXACT_GET_CLOCKS_SOURCE_AND_ALL_REGISTERS_CONNECTIVITY"
"FORMAL_PHASE2_FAIL_CONTROL","vclk1","nvp_vclk1","NVP_VIDEO","vclk1","6.734","148.500000","1737","CAPTURE_SUBSYSTEM/active_sav_gray_nvp_reg[0];CAPTURE_SUBSYSTEM/active_sav_gray_nvp_reg[1];CAPTURE_SUBSYSTEM/active_sav_gray_nvp_reg[2];CAPTURE_SUBSYSTEM/active_sav_gray_nvp_reg[3];CAPTURE_SUBSYSTEM/active_sav_gray_nvp_reg[4]","CAPTURE_SUBSYSTEM=1648;NVP_PHYSICAL_FRONTEND=23;TOP=66","FDCE=4;FDPE=12;FDRE=1707;FDSE=4;IDDR=8;RAMB36E1=2","0.007","REPORT_POWER_ROOT_MATCHED_TO_EXACT_GET_CLOCKS_SOURCE_AND_ALL_REGISTERS_CONNECTIVITY"
"FORMAL_PHASE2_FAIL_CONTROL","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/clk_125mhz","clk_125mhz","PCIE_REFERENCE_OR_GT_CLOCKING","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/mmcm_i/CLKOUT0","8.000","125.000000","431","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/FSM_onehot_reg_state_eios_det_reg[0];XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/FSM_onehot_reg_state_eios_det_reg[1];XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/FSM_onehot_reg_state_eios_det_reg[2];XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/FSM_onehot_reg_state_eios_det_reg[3];XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/FSM_onehot_reg_state_eios_det_reg[4]","XDMA=431","FDCE=9;FDRE=392;FDSE=21;GTPE2_CHANNEL=1;GTPE2_COMMON=1;PCIE_2_1=1;SRL16E=6","0.004","REPORT_POWER_ROOT_MATCHED_TO_EXACT_GET_CLOCKS_SOURCE_AND_ALL_REGISTERS_CONNECTIVITY"
"FORMAL_PHASE2_FAIL_CONTROL","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/clk_250mhz","clk_250mhz","PCIE_REFERENCE_OR_GT_CLOCKING","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/mmcm_i/CLKOUT1","4.000","250.000000","0","","","","<0.001","REPORT_POWER_ROOT_MATCHED_TO_EXACT_GET_CLOCKS_SOURCE_AND_ALL_REGISTERS_CONNECTIVITY"
"FORMAL_PHASE2_FAIL_CONTROL","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/mmcm_fb","mmcm_fb","PCIE_REFERENCE_OR_GT_CLOCKING","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/mmcm_i/CLKFBOUT","10.000","100.000000","0","","","","<0.001","REPORT_POWER_ROOT_MATCHED_TO_EXACT_GET_CLOCKS_SOURCE_AND_ALL_REGISTERS_CONNECTIVITY"
"FORMAL_PHASE2_FAIL_CONTROL","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/userclk1","userclk1","PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/mmcm_i/CLKOUT2","16.000","62.500000","15119","AXI_LITE_HOST_BRIDGE/araddr_stored_reg[0];AXI_LITE_HOST_BRIDGE/araddr_stored_reg[1];AXI_LITE_HOST_BRIDGE/araddr_stored_reg[2];AXI_LITE_HOST_BRIDGE/araddr_stored_reg[3];AXI_LITE_HOST_BRIDGE/araddr_stored_reg[4]","AXI_LITE_HOST_BRIDGE=110;CAPTURE_SUBSYSTEM=917;CONTROL_STATUS_REGS=65;NVP_AUTOINIT=748;TOP=605;XDMA=12674","FDCE=35;FDPE=44;FDRE=12863;FDSE=89;PCIE_2_1=1;RAMB18E1=1;RAMB36E1=21;RAMD32=1556;RAMS32=500;RAMS64E=8;SRL16E=1","0.030","REPORT_POWER_ROOT_MATCHED_TO_EXACT_GET_CLOCKS_SOURCE_AND_ALL_REGISTERS_CONNECTIVITY"
"FORMAL_PHASE2_FAIL_CONTROL","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].gt_wrapper_i/gtp_channel.gtpe2_channel_i_6","txoutclk_x0y0","PCIE_REFERENCE_OR_GT_CLOCKING","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].gt_wrapper_i/gtp_channel.gtpe2_channel_i/TXOUTCLK","10.000","100.000000","0","","","","<0.001","REPORT_POWER_ROOT_MATCHED_TO_EXACT_GET_CLOCKS_SOURCE_AND_ALL_REGISTERS_CONNECTIVITY"
"RCA_PASS_CONTROL","pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].gt_wrapper_i/pipe_txoutclk_out","txoutclk_x0y0","PCIE_REFERENCE_OR_GT_CLOCKING","pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].gt_wrapper_i/gtp_channel.gtpe2_channel_i/TXOUTCLK","10.000","100.000000","0","","","","<0.001","REPORT_POWER_ROOT_MATCHED_TO_EXACT_GET_CLOCKS_SOURCE_AND_ALL_REGISTERS_CONNECTIVITY"
