"VIEW","CATEGORY","RC_A_VALUE","PHASE2_VALUE","DELTA_PHASE2_MINUS_RCA","ABS_DELTA","PERCENT_DELTA_VS_RCA","REPORT_RESOLUTION","METHOD","CONFIDENCE","INTERPRETATION_ELIGIBLE","MODEL_CLASSIFICATION"
"FUNCTIONAL_OWNER_TOTAL","CAPTURE","0.017000","0.019000","0.002000","0.002000","11.76","0.001000","EXACT_NORMALIZED_HIERARCHY_OWNER_OR_RESOURCE_SLICE","LOW_VECTORLESS","YES_LOW_VECTORLESS_CONFIDENCE","INTERMEDIATE"
"FUNCTIONAL_OWNER_TOTAL","CONTROL","0.002000","0.002000","0.000000","0.000000","0.00","0.001000","EXACT_NORMALIZED_HIERARCHY_OWNER_OR_RESOURCE_SLICE","LOW_VECTORLESS","YES_LOW_VECTORLESS_CONFIDENCE","EQUAL_WITHIN_REPORT"
"FUNCTIONAL_OWNER_TOTAL","NVP_AUTOINIT","0.002000","0.002000","0.000000","0.000000","0.00","0.001000","EXACT_NORMALIZED_HIERARCHY_OWNER_OR_RESOURCE_SLICE","LOW_VECTORLESS","YES_LOW_VECTORLESS_CONFIDENCE","EQUAL_WITHIN_REPORT"
"FUNCTIONAL_OWNER_TOTAL","NVP_PHYSICAL_FRONTEND","0.001000","0.149000","0.148000","0.148000","NOT_MEANINGFUL","0.001000","EXACT_NORMALIZED_HIERARCHY_OWNER_OR_RESOURCE_SLICE","LOW_VECTORLESS","YES_LOW_VECTORLESS_CONFIDENCE","CLEAR_INCREASE_PHASE2"
"FUNCTIONAL_OWNER_TOTAL","OTHER","0.001000","0.003000","0.002000","0.002000","NOT_MEANINGFUL","0.001000","EXACT_NORMALIZED_HIERARCHY_OWNER_OR_RESOURCE_SLICE","LOW_VECTORLESS","YES_LOW_VECTORLESS_CONFIDENCE","EQUAL_WITHIN_REPORT"
"FUNCTIONAL_OWNER_TOTAL","TRANSPORT","0.300000","0.377000","0.077000","0.077000","25.67","0.001000","EXACT_NORMALIZED_HIERARCHY_OWNER_OR_RESOURCE_SLICE","LOW_VECTORLESS","YES_LOW_VECTORLESS_CONFIDENCE","CLEAR_INCREASE_PHASE2"
"MUTUALLY_EXCLUSIVE_RESOURCE_SLICED","CAPTURE","0.017000","0.019000","0.002000","0.002000","11.76","0.001000","EXACT_NORMALIZED_HIERARCHY_OWNER_OR_RESOURCE_SLICE","LOW_VECTORLESS","YES_LOW_VECTORLESS_CONFIDENCE","INTERMEDIATE"
"MUTUALLY_EXCLUSIVE_RESOURCE_SLICED","CLOCKING_IP","0.107000","0.224000","0.117000","0.117000","109.35","0.001000","EXACT_NORMALIZED_HIERARCHY_OWNER_OR_RESOURCE_SLICE","LOW_VECTORLESS","YES_LOW_VECTORLESS_CONFIDENCE","CLEAR_INCREASE_PHASE2"
"MUTUALLY_EXCLUSIVE_RESOURCE_SLICED","CONTROL","0.002000","0.002000","0.000000","0.000000","0.00","0.001000","EXACT_NORMALIZED_HIERARCHY_OWNER_OR_RESOURCE_SLICE","LOW_VECTORLESS","YES_LOW_VECTORLESS_CONFIDENCE","EQUAL_WITHIN_REPORT"
"MUTUALLY_EXCLUSIVE_RESOURCE_SLICED","NVP_AUTOINIT","0.002000","0.002000","0.000000","0.000000","0.00","0.001000","EXACT_NORMALIZED_HIERARCHY_OWNER_OR_RESOURCE_SLICE","LOW_VECTORLESS","YES_LOW_VECTORLESS_CONFIDENCE","EQUAL_WITHIN_REPORT"
"MUTUALLY_EXCLUSIVE_RESOURCE_SLICED","NVP_PHYSICAL_FRONTEND","0.001000","0.032000","0.031000","0.031000","NOT_MEANINGFUL","0.001000","EXACT_NORMALIZED_HIERARCHY_OWNER_OR_RESOURCE_SLICE","LOW_VECTORLESS","YES_LOW_VECTORLESS_CONFIDENCE","CLEAR_INCREASE_PHASE2"
"MUTUALLY_EXCLUSIVE_RESOURCE_SLICED","OTHER","0.001000","0.003000","0.002000","0.002000","NOT_MEANINGFUL","0.001000","EXACT_NORMALIZED_HIERARCHY_OWNER_OR_RESOURCE_SLICE","LOW_VECTORLESS","YES_LOW_VECTORLESS_CONFIDENCE","EQUAL_WITHIN_REPORT"
"MUTUALLY_EXCLUSIVE_RESOURCE_SLICED","TRANSPORT","0.193000","0.270000","0.077000","0.077000","39.90","0.001000","EXACT_NORMALIZED_HIERARCHY_OWNER_OR_RESOURCE_SLICE","LOW_VECTORLESS","YES_LOW_VECTORLESS_CONFIDENCE","CLEAR_INCREASE_PHASE2"
