"IMAGE_ROLE","VIEW","CATEGORY","POWER_W","OWNER_PATH","EMBEDDED_CLOCK_IP_W","METHOD","REPORT_RESOLUTION_W"
"FORMAL_PHASE2_FAIL_CONTROL","FUNCTIONAL_OWNER_TOTAL","TRANSPORT","0.377000","ahd_capture_top_xdma/XDMA","0.107000","EXACT_SELECTED_HIERARCHY_OWNER_ROW","0.001000"
"FORMAL_PHASE2_FAIL_CONTROL","FUNCTIONAL_OWNER_TOTAL","CAPTURE","0.019000","ahd_capture_top_xdma/CAPTURE_SUBSYSTEM","0.000000","EXACT_SELECTED_HIERARCHY_OWNER_ROW","0.001000"
"FORMAL_PHASE2_FAIL_CONTROL","FUNCTIONAL_OWNER_TOTAL","NVP_AUTOINIT","0.002000","ahd_capture_top_xdma/NVP_AUTOINIT","0.000000","EXACT_SELECTED_HIERARCHY_OWNER_ROW","0.001000"
"FORMAL_PHASE2_FAIL_CONTROL","FUNCTIONAL_OWNER_TOTAL","NVP_PHYSICAL_FRONTEND","0.149000","ahd_capture_top_xdma/NVP_PHYSICAL_FRONTEND","0.117000","EXACT_SELECTED_HIERARCHY_OWNER_ROW","0.001000"
"FORMAL_PHASE2_FAIL_CONTROL","FUNCTIONAL_OWNER_TOTAL","CONTROL","0.002000","ahd_capture_top_xdma/AXI_LITE_HOST_BRIDGE","0.000000","EXACT_SELECTED_HIERARCHY_OWNER_ROW","0.001000"
"FORMAL_PHASE2_FAIL_CONTROL","FUNCTIONAL_OWNER_TOTAL","OTHER","0.003000","ahd_capture_top_xdma","0.000000","ROOT_MINUS_MUTUALLY_EXCLUSIVE_SELECTED_OWNER_ROWS","0.001000"
"FORMAL_PHASE2_FAIL_CONTROL","MUTUALLY_EXCLUSIVE_RESOURCE_SLICED","TRANSPORT","0.270000","ahd_capture_top_xdma/XDMA","0.107000","OWNER_TOTAL_MINUS_OWNER_CLOCK_IP_COLUMN","0.001000"
"FORMAL_PHASE2_FAIL_CONTROL","MUTUALLY_EXCLUSIVE_RESOURCE_SLICED","CAPTURE","0.019000","ahd_capture_top_xdma/CAPTURE_SUBSYSTEM","0.000000","OWNER_TOTAL_MINUS_OWNER_CLOCK_IP_COLUMN","0.001000"
"FORMAL_PHASE2_FAIL_CONTROL","MUTUALLY_EXCLUSIVE_RESOURCE_SLICED","NVP_AUTOINIT","0.002000","ahd_capture_top_xdma/NVP_AUTOINIT","0.000000","OWNER_TOTAL_MINUS_OWNER_CLOCK_IP_COLUMN","0.001000"
"FORMAL_PHASE2_FAIL_CONTROL","MUTUALLY_EXCLUSIVE_RESOURCE_SLICED","NVP_PHYSICAL_FRONTEND","0.032000","ahd_capture_top_xdma/NVP_PHYSICAL_FRONTEND","0.117000","OWNER_TOTAL_MINUS_OWNER_CLOCK_IP_COLUMN","0.001000"
"FORMAL_PHASE2_FAIL_CONTROL","MUTUALLY_EXCLUSIVE_RESOURCE_SLICED","CONTROL","0.002000","ahd_capture_top_xdma/AXI_LITE_HOST_BRIDGE","0.000000","OWNER_TOTAL_MINUS_OWNER_CLOCK_IP_COLUMN","0.001000"
"FORMAL_PHASE2_FAIL_CONTROL","MUTUALLY_EXCLUSIVE_RESOURCE_SLICED","CLOCKING_IP","0.224000","ahd_capture_top_xdma","0.224000","SUM_OF_CLOCK_IP_COLUMNS_REMOVED_FROM_SELECTED_OWNER_ROWS","0.001000"
"FORMAL_PHASE2_FAIL_CONTROL","MUTUALLY_EXCLUSIVE_RESOURCE_SLICED","OTHER","0.003000","ahd_capture_top_xdma","0.000000","ROOT_MINUS_MUTUALLY_EXCLUSIVE_SELECTED_OWNER_ROWS","0.001000"
"RCA_PASS_CONTROL","FUNCTIONAL_OWNER_TOTAL","TRANSPORT","0.300000","ahd_capture_top_pcie/pcie7_g0p8c0_support_i","0.107000","EXACT_SELECTED_HIERARCHY_OWNER_ROW","0.001000"
"RCA_PASS_CONTROL","FUNCTIONAL_OWNER_TOTAL","CAPTURE","0.017000","ahd_capture_top_pcie/app/PIO/PIO_EP_inst/G0P8C2_CAPTURE","0.000000","EXACT_SELECTED_HIERARCHY_OWNER_ROW","0.001000"
"RCA_PASS_CONTROL","FUNCTIONAL_OWNER_TOTAL","NVP_AUTOINIT","0.002000","ahd_capture_top_pcie/NVP_AUTOINIT","0.000000","EXACT_SELECTED_HIERARCHY_OWNER_ROW","0.001000"
"RCA_PASS_CONTROL","FUNCTIONAL_OWNER_TOTAL","NVP_PHYSICAL_FRONTEND","0.001000","ahd_capture_top_pcie/NVP_PHYSICAL_FRONTEND","0.000000","EXACT_SELECTED_HIERARCHY_OWNER_ROW","0.001000"
"RCA_PASS_CONTROL","FUNCTIONAL_OWNER_TOTAL","CONTROL","0.002000","ahd_capture_top_pcie/app/PIO/PIO_EP_inst/COMPLETER","0.000000","EXACT_SELECTED_HIERARCHY_OWNER_ROW","0.001000"
"RCA_PASS_CONTROL","FUNCTIONAL_OWNER_TOTAL","OTHER","0.001000","ahd_capture_top_pcie","0.000000","ROOT_MINUS_MUTUALLY_EXCLUSIVE_SELECTED_OWNER_ROWS","0.001000"
"RCA_PASS_CONTROL","MUTUALLY_EXCLUSIVE_RESOURCE_SLICED","TRANSPORT","0.193000","ahd_capture_top_pcie/pcie7_g0p8c0_support_i","0.107000","OWNER_TOTAL_MINUS_OWNER_CLOCK_IP_COLUMN","0.001000"
"RCA_PASS_CONTROL","MUTUALLY_EXCLUSIVE_RESOURCE_SLICED","CAPTURE","0.017000","ahd_capture_top_pcie/app/PIO/PIO_EP_inst/G0P8C2_CAPTURE","0.000000","OWNER_TOTAL_MINUS_OWNER_CLOCK_IP_COLUMN","0.001000"
"RCA_PASS_CONTROL","MUTUALLY_EXCLUSIVE_RESOURCE_SLICED","NVP_AUTOINIT","0.002000","ahd_capture_top_pcie/NVP_AUTOINIT","0.000000","OWNER_TOTAL_MINUS_OWNER_CLOCK_IP_COLUMN","0.001000"
"RCA_PASS_CONTROL","MUTUALLY_EXCLUSIVE_RESOURCE_SLICED","NVP_PHYSICAL_FRONTEND","0.001000","ahd_capture_top_pcie/NVP_PHYSICAL_FRONTEND","0.000000","OWNER_TOTAL_MINUS_OWNER_CLOCK_IP_COLUMN","0.001000"
"RCA_PASS_CONTROL","MUTUALLY_EXCLUSIVE_RESOURCE_SLICED","CONTROL","0.002000","ahd_capture_top_pcie/app/PIO/PIO_EP_inst/COMPLETER","0.000000","OWNER_TOTAL_MINUS_OWNER_CLOCK_IP_COLUMN","0.001000"
"RCA_PASS_CONTROL","MUTUALLY_EXCLUSIVE_RESOURCE_SLICED","CLOCKING_IP","0.107000","ahd_capture_top_pcie","0.107000","SUM_OF_CLOCK_IP_COLUMNS_REMOVED_FROM_SELECTED_OWNER_ROWS","0.001000"
"RCA_PASS_CONTROL","MUTUALLY_EXCLUSIVE_RESOURCE_SLICED","OTHER","0.001000","ahd_capture_top_pcie","0.000000","ROOT_MINUS_MUTUALLY_EXCLUSIVE_SELECTED_OWNER_ROWS","0.001000"
