"FIELD","FORMAL_PHASE2","RCA","MATCH","MATERIAL"
"TOOL_VERSION","Vivado v.2025.2 (win64) Build 6299465 Fri Nov 14 19:35:11 GMT 2025","Vivado v.2025.2 (win64) Build 6299465 Fri Nov 14 19:35:11 GMT 2025","YES","YES"
"DEVICE","xc7a35tcsg325-2","xc7a35tcsg325-2","YES","YES"
"DESIGN_STATE","routed","routed","YES","YES"
"GRADE","commercial","commercial","YES","YES"
"PROCESS","typical","typical","YES","YES"
"CHARACTERIZATION","Production","Production","YES","YES"
"AMBIENT_TEMP_C","25.0","25.0","YES","YES"
"THETA_JA_C_PER_W","4.8","4.8","YES","YES"
"AIRFLOW_LFM","250","250","YES","YES"
"HEAT_SINK","medium (Medium Profile)","medium (Medium Profile)","YES","YES"
"THETA_SA_C_PER_W","4.6","4.6","YES","YES"
"BOARD_SELECTION","medium (10""x10"")","medium (10""x10"")","YES","YES"
"BOARD_LAYERS","12to15 (12 to 15 Layers)","12to15 (12 to 15 Layers)","YES","YES"
"BOARD_TEMP_C","25.0","25.0","YES","YES"
"SETTING_FILE","---","---","YES","YES"
"SIMULATION_ACTIVITY_FILE","---","---","YES","YES"
"ACTIVITY_BASIS","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","YES","YES"
"OVERALL_CONFIDENCE","Low","Low","YES","YES"
"REPORT_METHOD","report_power -hier all -hierarchical_depth 0 -l 0 -verbose","report_power -hier all -hierarchical_depth 0 -l 0 -verbose","YES","YES"
"VECTORLESS_PROPAGATION","ENABLED_DEFAULT_NO_NO_PROPAGATION_OPTION","ENABLED_DEFAULT_NO_NO_PROPAGATION_OPTION","YES","YES"
"VOLTAGE::MGTAVcc","1.000","1.000","YES","YES"
"VOLTAGE::MGTAVtt","1.200","1.200","YES","YES"
"VOLTAGE::Vccadc","1.800","1.800","YES","YES"
"VOLTAGE::Vccaux","1.800","1.800","YES","YES"
"VOLTAGE::Vccaux_io","1.800","1.800","YES","YES"
"VOLTAGE::Vccbram","1.000","1.000","YES","YES"
"VOLTAGE::Vccint","1.000","1.000","YES","YES"
"VOLTAGE::Vcco12","1.200","1.200","YES","YES"
"VOLTAGE::Vcco135","1.350","1.350","YES","YES"
"VOLTAGE::Vcco15","1.500","1.500","YES","YES"
"VOLTAGE::Vcco18","1.800","1.800","YES","YES"
"VOLTAGE::Vcco25","2.500","2.500","YES","YES"
"VOLTAGE::Vcco33","3.300","3.300","YES","YES"
