"METRIC","NORMALIZED_SUPPLY_CLASS","RC_A_VALUE","PHASE2_VALUE","DELTA_PHASE2_MINUS_RCA","ABS_DELTA","PERCENT_DELTA_VS_RCA","RC_A_CURRENT_A","PHASE2_CURRENT_A","DELTA_CURRENT_A","DELTA_POWER_W","REPORT_RESOLUTION","METHOD","CONFIDENCE","INTERPRETATION_ELIGIBLE","MODEL_CLASSIFICATION"
"MGTAVcc","MGTAVCC","0.068000","0.068000","0.000000","0.000000","0.00","0.068000","0.068000","0.000000","0.000000","0.001000","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_TOTAL_CURRENT","Low","YES_LOW_VECTORLESS_CONFIDENCE","EQUAL_WITHIN_REPORT"
"MGTAVtt","MGTAVTT","0.074400","0.074400","0.000000","0.000000","0.00","0.062000","0.062000","0.000000","0.000000","0.001200","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_TOTAL_CURRENT","Low","YES_LOW_VECTORLESS_CONFIDENCE","EQUAL_WITHIN_REPORT"
"Vccadc","OTHER_SUPPLY","0.036000","0.036000","0.000000","0.000000","0.00","0.020000","0.020000","0.000000","0.000000","0.001800","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_TOTAL_CURRENT","Low","YES_LOW_VECTORLESS_CONFIDENCE","EQUAL_WITHIN_REPORT"
"Vccaux","VCCAUX","0.129600","0.275400","0.145800","0.145800","112.50","0.072000","0.153000","0.081000","0.145800","0.001800","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_TOTAL_CURRENT","Low","YES_LOW_VECTORLESS_CONFIDENCE","CLEAR_INCREASE_PHASE2"
"Vccaux_io","OTHER_SUPPLY","0.000000","0.000000","0.000000","0.000000","NOT_MEANINGFUL","0.000000","0.000000","0.000000","0.000000","0.001800","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_TOTAL_CURRENT","Low","YES_LOW_VECTORLESS_CONFIDENCE","EQUAL_WITHIN_REPORT"
"Vccbram","VCCBRAM","0.001000","0.002000","0.001000","0.001000","NOT_MEANINGFUL","0.001000","0.002000","0.001000","0.001000","0.001000","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_TOTAL_CURRENT","Low","YES_LOW_VECTORLESS_CONFIDENCE","EQUAL_WITHIN_REPORT"
"Vccint","VCCINT","0.089000","0.172000","0.083000","0.083000","93.26","0.089000","0.172000","0.083000","0.083000","0.001000","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_TOTAL_CURRENT","Low","YES_LOW_VECTORLESS_CONFIDENCE","CLEAR_INCREASE_PHASE2"
"Vcco12","OTHER_VCCO_CLASS","0.000000","0.000000","0.000000","0.000000","NOT_MEANINGFUL","0.000000","0.000000","0.000000","0.000000","0.001200","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_TOTAL_CURRENT","Low","YES_LOW_VECTORLESS_CONFIDENCE","EQUAL_WITHIN_REPORT"
"Vcco135","OTHER_VCCO_CLASS","0.000000","0.000000","0.000000","0.000000","NOT_MEANINGFUL","0.000000","0.000000","0.000000","0.000000","0.001350","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_TOTAL_CURRENT","Low","YES_LOW_VECTORLESS_CONFIDENCE","EQUAL_WITHIN_REPORT"
"Vcco15","OTHER_VCCO_CLASS","0.000000","0.000000","0.000000","0.000000","NOT_MEANINGFUL","0.000000","0.000000","0.000000","0.000000","0.001500","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_TOTAL_CURRENT","Low","YES_LOW_VECTORLESS_CONFIDENCE","EQUAL_WITHIN_REPORT"
"Vcco18","OTHER_VCCO_CLASS","0.000000","0.000000","0.000000","0.000000","NOT_MEANINGFUL","0.000000","0.000000","0.000000","0.000000","0.001800","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_TOTAL_CURRENT","Low","YES_LOW_VECTORLESS_CONFIDENCE","EQUAL_WITHIN_REPORT"
"Vcco25","OTHER_VCCO_CLASS","0.000000","0.000000","0.000000","0.000000","NOT_MEANINGFUL","0.000000","0.000000","0.000000","0.000000","0.002500","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_TOTAL_CURRENT","Low","YES_LOW_VECTORLESS_CONFIDENCE","EQUAL_WITHIN_REPORT"
"Vcco33","AGGREGATE_VCCO33","0.003300","0.003300","0.000000","0.000000","NOT_MEANINGFUL","0.001000","0.001000","0.000000","0.000000","0.003300","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_TOTAL_CURRENT","Low","YES_LOW_VECTORLESS_CONFIDENCE","EQUAL_WITHIN_REPORT"
"MGT_SUPPLY_SUM","MGT_SUPPLY_SUM","0.142400","0.142400","0.000000","0.000000","0.00","NOT_ADDITIVE_DIFFERENT_VOLTAGES","NOT_ADDITIVE_DIFFERENT_VOLTAGES","NOT_ADDITIVE_DIFFERENT_VOLTAGES","0.000000","0.002200","SUM_OF_MUTUALLY_EXCLUSIVE_MGT_RAIL_POWER_ROWS","LOW","YES_LOW_VECTORLESS_CONFIDENCE","EQUAL_WITHIN_REPORT"
