"IMAGE_ROLE","NORMALIZED_DOMAIN","REF_NAME","UNIQUE_REGISTER_CELL_COUNT","UTILIZATION_MEANING","SOURCE"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_VIDEO","FDCE","8","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_VIDEO","FDPE","13","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_VIDEO","FDRE","1707","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_VIDEO","FDSE","4","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_VIDEO","IDDR","8","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_VIDEO","RAMB36E1","2","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_REFERENCE_OR_GT_CLOCKING","FDCE","9","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_REFERENCE_OR_GT_CLOCKING","FDRE","394","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_REFERENCE_OR_GT_CLOCKING","FDSE","21","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_REFERENCE_OR_GT_CLOCKING","GTPE2_CHANNEL","1","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_REFERENCE_OR_GT_CLOCKING","GTPE2_COMMON","1","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_REFERENCE_OR_GT_CLOCKING","PCIE_2_1","1","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_REFERENCE_OR_GT_CLOCKING","SRL16E","6","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_REFERENCE_OR_GT_CLOCKING","SRLC32E","7","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","FDCE","35","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","FDPE","44","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","FDRE","12863","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","FDSE","89","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","PCIE_2_1","1","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","RAMB18E1","1","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","RAMB36E1","21","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","RAMD32","1556","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","RAMS32","500","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","RAMS64E","8","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"FORMAL_PHASE2_FAIL_CONTROL","PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","SRL16E","1","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"RCA_PASS_CONTROL","NVP_VIDEO","FDCE","2","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"RCA_PASS_CONTROL","NVP_VIDEO","FDPE","12","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"RCA_PASS_CONTROL","NVP_VIDEO","FDRE","1707","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"RCA_PASS_CONTROL","NVP_VIDEO","FDSE","4","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"RCA_PASS_CONTROL","NVP_VIDEO","IDDR","8","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"RCA_PASS_CONTROL","NVP_VIDEO","RAMB36E1","2","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"RCA_PASS_CONTROL","PCIE_REFERENCE_OR_GT_CLOCKING","FDCE","9","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"RCA_PASS_CONTROL","PCIE_REFERENCE_OR_GT_CLOCKING","FDRE","394","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
