date,image,bit_sha,source_commit,cold_warm_state,programming_result,INIT_DONE,INIT_ERROR,NACK_COUNT,TIMEOUT_COUNT,first_error_phase,first_error_step,bank,register,value,VCLK_DELTA,SAV_DELTA,FRAME_DELTA,infrastructure_validity
2026-08-16,Historical RC-A cold Run 1,A43B9280FACFF259F126B0E4FDD56E39C3D136321696EBFC98B79184A747B3B6,55ce0df41552bb74e0923f89eff43977b040f2e5,true-cold then program and warm reboot,PASS,1,0,0,0,NONE,NONE,NONE,NONE,NONE,148560224,28137,25,VALID
2026-08-16,Historical RC-A cold Run 2,A43B9280FACFF259F126B0E4FDD56E39C3D136321696EBFC98B79184A747B3B6,55ce0df41552bb74e0923f89eff43977b040f2e5,true-cold then program and warm reboot,PASS,1,0,0,0,NONE,NONE,NONE,NONE,NONE,148561993,28136,25,VALID
2026-08-16,Historical RC-A cold Run 3,A43B9280FACFF259F126B0E4FDD56E39C3D136321696EBFC98B79184A747B3B6,55ce0df41552bb74e0923f89eff43977b040f2e5,true-cold then program and warm reboot,PASS,1,0,0,0,NONE,NONE,NONE,NONE,NONE,148556804,28135,25,VALID
2026-08-16,Historical RC-A cold Run 4,A43B9280FACFF259F126B0E4FDD56E39C3D136321696EBFC98B79184A747B3B6,55ce0df41552bb74e0923f89eff43977b040f2e5,true-cold then program and warm reboot,PASS,1,0,0,0,NONE,NONE,NONE,NONE,NONE,148553857,28135,25,VALID
2026-08-16,Historical RC-A cold Run 5,A43B9280FACFF259F126B0E4FDD56E39C3D136321696EBFC98B79184A747B3B6,55ce0df41552bb74e0923f89eff43977b040f2e5,true-cold then program and warm reboot,PASS,1,0,0,0,NONE,NONE,NONE,NONE,NONE,148556207,28136,25,VALID
2026-08-17,B7 RC-A new-host Run 1,A43B9280FACFF259F126B0E4FDD56E39C3D136321696EBFC98B79184A747B3B6,55ce0df41552bb74e0923f89eff43977b040f2e5,true-cold then program and warm reboot,PASS,1,0,0,0,NONE,NONE,NONE,NONE,NONE,148564336,28137,25,VALID
2026-08-17,B7 RC-A new-host Run 2,A43B9280FACFF259F126B0E4FDD56E39C3D136321696EBFC98B79184A747B3B6,55ce0df41552bb74e0923f89eff43977b040f2e5,true-cold then program and warm reboot,PASS,1,0,0,0,NONE,NONE,NONE,NONE,NONE,148551838,28135,25,VALID
2026-08-17,B7 RC-A new-host Run 3,A43B9280FACFF259F126B0E4FDD56E39C3D136321696EBFC98B79184A747B3B6,55ce0df41552bb74e0923f89eff43977b040f2e5,true-cold then program and warm reboot,PASS,1,0,0,0,NONE,NONE,NONE,NONE,NONE,148545571,28133,25,VALID
2026-08-20,Current RC-A Run 1,A43B9280FACFF259F126B0E4FDD56E39C3D136321696EBFC98B79184A747B3B6,55ce0df41552bb74e0923f89eff43977b040f2e5,warm-state late-JTAG then warm reboot,PASS,1,0,0,0,NONE,NONE,NONE,NONE,NONE,148557621,28136,25,VALID
2026-08-20,Current RC-A Run 2,A43B9280FACFF259F126B0E4FDD56E39C3D136321696EBFC98B79184A747B3B6,55ce0df41552bb74e0923f89eff43977b040f2e5,warm-state late-JTAG then warm reboot,PASS,1,0,0,0,NONE,NONE,NONE,NONE,NONE,148555139,28136,25,VALID
2026-08-20,Current RC-A Run 3,A43B9280FACFF259F126B0E4FDD56E39C3D136321696EBFC98B79184A747B3B6,55ce0df41552bb74e0923f89eff43977b040f2e5,warm-state late-JTAG then warm reboot,PASS,1,0,0,0,NONE,NONE,NONE,NONE,NONE,148520870,28129,25,VALID
2026-08-18,v41 Phase-3 sealed baseline,500A9589B847DBC625559C2C3DE2AB007F34BCA858F7EC66554D31213B0A3ADC,8464af66611f7c22b8a36a4aab915d598eedda3f,warm-state late-JTAG then warm reboot,PASS,1,1,33,0,ADDRESS_BYTE_NACK,0x13,meta05/physical05,0x59,0x11,154790160,0,0,VALID_FUNCTIONAL_FAIL
2026-08-19,v41 formal Phase-2 reference,7E4E909D78C2BE5C1E0ECA56229F2B88ECC2DBF5974B32BDF07EF1AFCD9449A2,fd32fcb65be3f1a59c569874195d1faeaf7d27e9,warm-state restored then warm reboot,PASS,1,1,18,0,ADDRESS_BYTE_NACK,0x17,NOT_CAPTURED,NOT_CAPTURED,NOT_CAPTURED,ADVANCING,0,0,VALID_FUNCTIONAL_FAIL
2026-08-19,v41 R2 observer,FCAE29F83904F69487545400AB83756ADA9FFC99A78C0A387DD4604A130CD43A,fd32fcb65be3f1a59c569874195d1faeaf7d27e9+observer_R2,warm-state late-JTAG then warm reboot,PASS,1,1,20,0,WRITE_ADDRESS,0x1F,meta05/physical05,0x58,0x00,154470696,0,0,VALID_FUNCTIONAL_FAIL
2026-08-19,v41 Z8 midpoint experiment,390709958F1F04FB702E8E4BA0DDB744658176F50A0A215545C8A7A5FA6A128D,fd32fcb65be3f1a59c569874195d1faeaf7d27e9+R2_Z8,warm-state late-JTAG then warm reboot,PASS,1,1,20,0,WRITE_ADDRESS,0x02,meta01/physical00,0xFF,0x00,154940743,0,0,VALID_FUNCTIONAL_FAIL
