"ID","Path","Filename","Size_Bytes","Modified_Time","SHA256","Artifact_Type","Expected_By_Original_Prompt","Status","Notes"
"REC-0001","C:\FPGA\G2B_BS0_GROUP9_ANALYSIS_20260831\dfx_runtime.txt","dfx_runtime.txt","114","2026-08-31T20:28:44.1704432+02:00","32DB1CDD6132E50827263F21B3EE6C0B3387B13954D2872A0AA244F0022C3B0A","AUXILIARY_ARTIFACT","NO","COMPLETE","Referenced_By=interrupted draft report(s) or recovery reconstruction; Complete preserved auxiliary artifact."
"REC-0002","C:\FPGA\G2B_BS0_GROUP9_ANALYSIS_20260831\evidence_work\G2B_BS0_CONSTRAINT_VALIDITY_DECISION.md","G2B_BS0_CONSTRAINT_VALIDITY_DECISION.md","13331","2026-08-31T20:33:15.5493900+02:00","CA2AAC547656D9BB0CA9D288CBAC1826947610F564466545F621936127EA734B","REPORT_OR_INDEX","YES","PARTIAL","Referenced_By=G2B_BS0_EVIDENCE_INDEX.md; Provisional static classification; dynamic controls pending."
"REC-0003","C:\FPGA\G2B_BS0_GROUP9_ANALYSIS_20260831\evidence_work\G2B_BS0_EVIDENCE_INDEX.md","G2B_BS0_EVIDENCE_INDEX.md","7776","2026-08-31T20:48:53.4774915+02:00","53531384B0FEFA00A154ADE99B62E51B81B3CADD0C95A016857E02171A0ECDD0","REPORT_OR_INDEX","YES","PARTIAL","Referenced_By=G2B_BS0_EVIDENCE_INDEX.md; Draft index; ledger, state, bisect CSV, and manifest absent."
"REC-0004","C:\FPGA\G2B_BS0_GROUP9_ANALYSIS_20260831\evidence_work\G2B_BS0_GROUP9_CDC_CORRELATION.md","G2B_BS0_GROUP9_CDC_CORRELATION.md","7988","2026-08-31T20:51:28.3266244+02:00","2D4C81336B32B00FE0AC70541624AB2935D22C85E6C98ECA37D67309B819ECA1","REPORT_OR_INDEX","YES","PARTIAL","Referenced_By=G2B_BS0_EVIDENCE_INDEX.md; Static CDC correlation complete; source index marks final cross-check pending."
"REC-0005","C:\FPGA\G2B_BS0_GROUP9_ANALYSIS_20260831\evidence_work\G2B_BS0_GROUP9_SEMANTIC_DECOMPOSITION.md","G2B_BS0_GROUP9_SEMANTIC_DECOMPOSITION.md","17236","2026-08-31T20:33:15.5352497+02:00","AE2A006958569588402399055A46172AE44EA50E883C4DA58172CDBC7E1D6B4F","REPORT_OR_INDEX","YES","PARTIAL","Referenced_By=G2B_BS0_EVIDENCE_INDEX.md; Static semantic content complete; source index marks dynamic cross-check pending."
"REC-0006","C:\FPGA\G2B_BS0_GROUP9_ANALYSIS_20260831\evidence_work\G2B_BS0_MINIMAL_REPRODUCER.md","G2B_BS0_MINIMAL_REPRODUCER.md","7504","2026-08-31T20:48:53.4364950+02:00","54C5ED05E0CB2748AD845F359958EBDBF8025A3D4A33CEED681275DAB337C44F","REPORT_OR_INDEX","YES","PARTIAL","Referenced_By=G2B_BS0_EVIDENCE_INDEX.md; Recipe only; smallest subset and executed reproducer absent."
"REC-0007","C:\FPGA\G2B_BS0_GROUP9_ANALYSIS_20260831\evidence_work\G2B_BS0_SSOT_IMPACT.md","G2B_BS0_SSOT_IMPACT.md","3577","2026-08-31T20:46:37.7111399+02:00","9F34536F0F2990FDC6D9D412B40802D2949D70333ED1D250D37163BE74621F01","REPORT_OR_INDEX","NO","PARTIAL","Referenced_By=interrupted draft report(s) or recovery reconstruction; Pending final assembly in the interrupted source; not one of the 11 explicitly enumerated expected outputs in the recovery prompt."
"REC-0008","C:\FPGA\G2B_BS0_GROUP9_ANALYSIS_20260831\evidence_work\G2B_BS0_TIMING_METHODOLOGY_REVIEW.md","G2B_BS0_TIMING_METHODOLOGY_REVIEW.md","9315","2026-08-31T20:49:21.7233902+02:00","CBDFE4D3F9CBD41FF137C1AF64AD275ED13BA7D63CC6BCE6D2CEAFCC8A64802F","REPORT_OR_INDEX","YES","PARTIAL","Referenced_By=G2B_BS0_EVIDENCE_INDEX.md; Draft review; current Gen12 methodology result absent."
"REC-0009","C:\FPGA\G2B_BS0_GROUP9_ANALYSIS_20260831\evidence_work\STATIC_EVIDENCE_SUMMARY.md","STATIC_EVIDENCE_SUMMARY.md","14191","2026-08-31T20:43:09.7249818+02:00","8372BE14EDF62ED889D7B41AEFA17717FD3385492169A8DD9E8ED13A2BE1A04C","REPORT_OR_INDEX","NO","COMPLETE","Referenced_By=interrupted main report; Complete preserved auxiliary artifact."
"REC-0010","C:\FPGA\G2B_BS0_GROUP9_ANALYSIS_20260831\evidence_work\V41_G2B_BS0_MAIN_REPORT.md","V41_G2B_BS0_MAIN_REPORT.md","22357","2026-08-31T20:51:21.6958519+02:00","A637F0ADE0E78E54A399106E64AA1B572AD83A565A598ED642A8907C6F92DEB0","REPORT_OR_INDEX","YES","PARTIAL","Referenced_By=G2B_BS0_EVIDENCE_INDEX.md; Draft main report; dynamic controls and final disposition pending."
"REC-0011","C:\FPGA\G2B_BS0_GROUP9_ANALYSIS_20260831\experiments\EXP000_FULL_PATHS\console.stderr.log","console.stderr.log","0","2026-08-31T20:10:02.1565499+02:00","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","STDERR_LOG","NO","EMPTY","Referenced_By=experiment receipts/hashes and interrupted report reconstruction; Zero-byte artifact; expected-empty stderr is not a successful experiment result."
