Milestone,TimestampUTC,EpochMilliseconds,ElapsedFromT0Seconds,PhaseElapsedSeconds,Detail
T0,2026-09-01T17:21:38.981Z,1788283298981,0.000,0.000,"Vivado process launch"
T1,2026-09-01T17:22:21.513Z,1788283341513,42.532,42.532,"Tcl worker entered"
T2,2026-09-01T17:22:25.560Z,1788283345560,46.579,4.047,"open_checkpoint started"
T3,2026-09-01T17:25:05.314Z,1788283505314,206.333,159.754,"open_checkpoint completed"
T4,2026-09-01T17:25:13.373Z,1788283513373,214.392,8.037,"route-status query completed"
T5,2026-09-01T17:26:48.474Z,1788283608474,309.493,95.066,"required XDC/context preparation completed"
T6,2026-09-01T17:26:48.600Z,1788283608600,309.619,0.101,"58 source objects resolved"
T7,2026-09-01T17:26:48.630Z,1788283608630,309.649,0.008,"singleton sink object resolved"
T8,2026-09-01T17:26:48.674Z,1788283608674,309.693,0.023,"object identity verified"
T9,2026-09-01T17:26:51.214Z,1788283611214,312.233,2.519,"COMMAND_READY"
