"PATH_INDEX","SOURCE_CELL_DERIVED","DESTINATION_CELL_DERIVED","STARTPOINT_PIN","ENDPOINT_PIN","DATAPATH_DELAY","SLACK","REQUIREMENT","STARTPOINT_CLOCK","ENDPOINT_CLOCK","LOGIC_LEVELS","DELAY_TYPE","SKEW","UNCERTAINTY","ARRIVAL_TIME","CLOCK_PESSIMISM","DATAPATH_LOGIC_DELAY","DATAPATH_NET_DELAY","ENDPOINT_CLOCK_DELAY","ENDPOINT_CLOCK_EDGE","ENDPOINT_CLOCK_ROOT","INPUT_DELAY","OUTPUT_DELAY","STARTPOINT_CLOCK_DELAY","STARTPOINT_CLOCK_EDGE","STARTPOINT_CLOCK_ROOT","TIME_BORROWED_FROM_ENDPOINT","TIME_GIVEN_TO_STARTPOINT","USER_UNCERTAINTY"
"1","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"2","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"3","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"4","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"5","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"6","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"7","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"8","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"9","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"10","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"11","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"12","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"13","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"14","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
