"PROPERTY","PRESENT_ON_PATH_COUNT","SAMPLE_VALUE"
"ARRIVAL_TIME","58","4.868"
"CLASS","58","timing_path"
"CLOCK_PESSIMISM","0","N/A"
"CORNER","58","Slow"
"DATAPATH_DELAY","58","4.868"
"DATAPATH_LOGIC_DELAY","58","1.602"
"DATAPATH_NET_DELAY","58","3.266"
"DELAY_TYPE","58","max"
"ENDPOINT_CLOCK","58","nvp_vclk1"
"ENDPOINT_CLOCK_DELAY","58","0.000"
"ENDPOINT_CLOCK_EDGE","58","0.000"
"ENDPOINT_CLOCK_ROOT","0","N/A"
"ENDPOINT_PIN","58","G2B_ONECH_C2H/own_ok_hold_source_reg/D"
"EXCEPTION","58","MaxDelay Path 6.000ns -datapath_only"
"EXCEPTION_ID","0","N/A"
"GROUP","58","nvp_vclk1"
"INPUT_DELAY","0","N/A"
"INTER_SLR_COMPENSATION","0","N/A"
"LOGIC_LEVELS","58","6"
"MAX_FANOUT","58","142"
"NAME","58","{G2B_ONECH_C2H/axis_slot_reg[1]/C --> G2B_ONECH_C2H/own_ok_hold_source_reg/D}"
"OUTPUT_DELAY","0","N/A"
"REQUIRED_TIME","58","6.030"
"REQUIREMENT","58","6.000"
"ROUTABLE_NETS","0","N/A"
"SKEW","0","N/A"
"SLACK","58","1.162"
"SLR_CROSSINGS","58","0"
"STARTPOINT_CLOCK","58","userclk1"
"STARTPOINT_CLOCK_DELAY","58","0.000"
"STARTPOINT_CLOCK_EDGE","58","0.000"
"STARTPOINT_CLOCK_ROOT","0","N/A"
"STARTPOINT_PIN","58","G2B_ONECH_C2H/axis_slot_reg[1]/C"
"TIME_BORROWED_FROM_ENDPOINT","0","N/A"
"TIME_GIVEN_TO_STARTPOINT","0","N/A"
"UNCERTAINTY","0","N/A"
"USER_UNCERTAINTY","0","N/A"
