LogicalIndex,EventSequence,SourceClockDelta,MarkerBytes,F,V,H,XYValid,PendingLine,StateBefore,StateAfter,LockBefore,LockAfter,MalformedReason,MonitorHasAttempt,SourceDropIncrement,DropReason,EnableApplied
34,445,3844,FF 00 00 90,0,0,1,1,1080,SRC_WAIT_EAV,SRC_IDLE,1,0,2,0,0,0,0
36,447,3844,FF 00 00 90,0,0,1,1,1081,SRC_WAIT_EAV,SRC_IDLE,0,0,2,0,0,0,0
38,449,3844,FF 00 00 90,0,0,1,1,1082,SRC_WAIT_EAV,SRC_IDLE,0,0,2,0,0,0,0
40,451,3844,FF 00 00 90,0,0,1,1,1083,SRC_WAIT_EAV,SRC_IDLE,0,0,2,0,0,0,0
42,453,3844,FF 00 00 90,0,0,1,1,1084,SRC_WAIT_EAV,SRC_IDLE,0,0,2,0,0,0,0
44,455,3844,FF 00 00 90,0,0,1,1,1085,SRC_WAIT_EAV,SRC_IDLE,0,0,2,0,0,0,0
46,457,3844,FF 00 00 90,0,0,1,1,1086,SRC_WAIT_EAV,SRC_IDLE,0,0,2,0,0,0,0
48,459,3844,FF 00 00 90,0,0,1,1,1087,SRC_WAIT_EAV,SRC_IDLE,0,0,2,0,0,0,0
50,461,3844,FF 00 00 90,0,0,1,1,1088,SRC_WAIT_EAV,SRC_IDLE,0,0,2,0,0,0,0
52,463,3844,FF 00 00 90,0,0,1,1,1089,SRC_WAIT_EAV,SRC_IDLE,0,0,2,0,0,0,0
54,465,3844,FF 00 00 90,0,0,1,1,1090,SRC_WAIT_EAV,SRC_IDLE,0,0,2,0,0,0,0
56,467,3844,FF 00 00 90,0,0,1,1,1091,SRC_WAIT_EAV,SRC_IDLE,0,0,2,0,0,0,0
58,469,3844,FF 00 00 90,0,0,1,1,1092,SRC_WAIT_EAV,SRC_IDLE,0,0,2,0,0,0,0
60,471,3844,FF 00 00 90,0,0,1,1,1093,SRC_WAIT_EAV,SRC_IDLE,0,0,2,0,0,0,0
62,473,3844,FF 00 00 90,0,0,1,1,1094,SRC_WAIT_EAV,SRC_IDLE,0,0,2,0,0,0,0
64,475,3844,FF 00 00 90,0,0,1,1,1095,SRC_WAIT_EAV,SRC_IDLE,0,0,2,0,0,0,0
66,477,3844,FF 00 00 90,0,0,1,1,1096,SRC_WAIT_EAV,SRC_IDLE,0,0,2,0,0,0,0
68,479,3844,FF 00 00 90,0,0,1,1,1097,SRC_WAIT_EAV,SRC_IDLE,0,0,2,0,0,0,0
70,481,3844,FF 00 00 90,0,0,1,1,1098,SRC_WAIT_EAV,SRC_IDLE,0,0,2,0,0,0,0
72,483,3844,FF 00 00 90,0,0,1,1,1099,SRC_WAIT_EAV,SRC_IDLE,0,0,2,0,0,0,0
74,485,3844,FF 00 00 B0,0,1,1,1,1100,SRC_WAIT_EAV,SRC_IDLE,0,0,2,0,0,0,0
