Authorized,CompletionMonotonicNs,DoneObservationMonotonicNs,Offset,Operation,Precondition,Purpose,Result,Timestamp,TraceReadPass,Value
YES,,,0x380C,WRITE,S0_QUIESCENT,RESET_STREAM_STATE,INTENT,1788900908406113750,0,0x00000004
YES,98634707303,,0x380C,WRITE,S0_QUIESCENT,RESET_STREAM_STATE,PASS,1788900908406113750,0,0x00000004
YES,,,0x3844,WRITE,S2_BASELINE,COHERENT_SNAPSHOT,INTENT,1788900908406259612,0,0x00000001
YES,98634840731,,0x3844,WRITE,S2_BASELINE,COHERENT_SNAPSHOT,PASS,1788900908406259612,0,0x00000001
YES,,,0x3C0C,WRITE,POST_RESET_QUIESCENT,TRACE_CLEAR,INTENT,1788900908406447622,0,0x00000001
YES,98635027920,,0x3C0C,WRITE,POST_RESET_QUIESCENT,TRACE_CLEAR,PASS,1788900908406447622,0,0x00000001
YES,,,0x3C0C,WRITE,TRACE_CLEAR_ACKNOWLEDGED,TRACE_ARM,INTENT,1788900908406465155,0,0x00000002
YES,98635047917,,0x3C0C,WRITE,TRACE_CLEAR_ACKNOWLEDGED,TRACE_ARM,PASS,1788900908406465155,0,0x00000002
YES,,,0x380C,WRITE,DRAIN_PREQUEUE_READY,STREAM_ENABLE,INTENT,1788900908417135403,0,0x00000001
YES,98645735608,,0x380C,WRITE,DRAIN_PREQUEUE_READY,STREAM_ENABLE,PASS,1788900908417135403,0,0x00000001
YES,,98645757559,0x380C,WRITE,TRACE_DONE_VISIBLE,NORMAL_DISABLE,INTENT,1788900908417187220,0,0x00000000
YES,98645761717,98645757559,0x380C,WRITE,TRACE_DONE_VISIBLE,NORMAL_DISABLE,PASS,1788900908417187220,0,0x00000000
