# logical_index xy gap_to_next source_ready
31 80 3840 1
32 90 1432 1
33 80 3840 1
34 90 1432 1
35 80 3840 1
36 90 1432 1
37 80 3840 1
38 90 1432 1
39 80 3840 1
40 90 1432 1
41 80 3840 1
42 90 1432 1
43 80 3840 1
44 90 1432 1
45 80 3840 1
46 90 1432 1
47 80 3840 1
48 90 1432 1
49 80 3840 1
50 90 1432 1
51 80 3840 1
52 90 1432 1
53 80 3840 1
54 90 1432 1
55 80 3840 1
56 90 1432 1
57 80 3840 1
58 90 1432 1
59 80 3840 1
60 90 1432 1
61 80 3840 1
62 90 1432 1
63 80 3840 1
64 90 1432 1
65 80 3840 1
66 90 1432 1
67 80 3840 1
68 90 1432 1
69 80 3840 1
70 90 1432 1
71 80 3840 1
72 90 1432 1
73 80 3840 1
74 B0 1432 1
75 A0 3840 1
76 B0 1432 1
77 A0 3840 1
78 B0 1432 1
79 A0 3840 1
80 B0 1432 1
81 A0 3840 1
82 B0 1432 1
83 A0 3840 1
84 B0 1432 1
85 A0 3840 1
86 B0 1432 1
87 A0 3840 1
88 B0 1432 1
89 A0 3840 1
90 B0 1432 1
91 A0 3840 1
92 B0 1432 1
93 A0 3840 1
94 B0 1432 1
95 A0 3840 1
96 B0 1432 1
97 A0 3840 1
98 B0 1432 1
99 A0 3840 1
100 B0 1432 1
101 A0 3840 1
102 B0 1432 1
103 A0 3840 1
104 B0 1432 1
105 A0 3840 1
106 B0 1432 1
107 A0 3840 1
108 B0 1432 1
109 A0 3840 1
110 B0 1432 1
111 A0 3840 1
112 B0 1432 1
113 A0 3840 1
114 B0 1432 1
115 A0 3840 1
116 B0 1432 1
117 A0 3840 1
118 B0 1432 1
119 A0 3840 1
120 B0 1432 1
121 A0 3840 1
122 90 1432 1
123 80 3840 1
124 90 1432 1
125 80 3840 1
126 90 1432 1
127 80 3840 1
128 90 1432 1
129 80 3840 1
130 90 1432 1
131 80 3840 1
132 90 1432 1
133 80 3840 1
134 90 1432 1
135 80 3840 1
136 90 1432 1
137 80 3840 1
138 90 1432 1
139 80 3840 1
140 90 1432 1
141 80 3840 1
142 90 1432 1
143 80 3840 1
144 90 1432 1
145 80 2880 1
