LogicalIndex,Window,RequestedBytes,ResultBytes,Result2,CompletionSequence,CompletedMonotonicNs,Canceled,Exact
0,PRIMARY,4096,4096,0,0,207482614742,NO,YES
1,PRIMARY,4096,4096,0,1,207482628848,NO,YES
2,PRIMARY,4096,4096,0,2,207482658423,NO,YES
3,PRIMARY,4096,4096,0,3,207482702214,NO,YES
4,PRIMARY,4096,4096,0,4,207482713314,NO,YES
5,PRIMARY,4096,4096,0,5,207482758638,NO,YES
6,PRIMARY,4096,4096,0,6,207482775880,NO,YES
7,PRIMARY,4096,4096,0,7,207482830011,NO,YES
8,PRIMARY,4096,4096,0,8,207482846912,NO,YES
9,PRIMARY,4096,4096,0,9,207482880955,NO,YES
10,PRIMARY,4096,4096,0,10,207482916391,NO,YES
11,PRIMARY,4096,4096,0,11,207482951837,NO,YES
12,PRIMARY,4096,4096,0,12,207482987633,NO,YES
13,PRIMARY,4096,4096,0,13,207483023610,NO,YES
14,PRIMARY,4096,4096,0,14,207483058554,NO,YES
15,PRIMARY,4096,4096,0,15,207483094040,NO,YES
16,PRIMARY,4096,4096,0,16,207483130107,NO,YES
17,PRIMARY,4096,4096,0,17,207483165413,NO,YES
18,PRIMARY,4096,4096,0,18,207483200708,NO,YES
19,PRIMARY,4096,4096,0,19,207483236264,NO,YES
20,PRIMARY,4096,4096,0,20,207483271850,NO,YES
21,PRIMARY,4096,4096,0,21,207483307456,NO,YES
22,PRIMARY,4096,4096,0,22,207483342962,NO,YES
23,PRIMARY,4096,4096,0,23,207483378658,NO,YES
24,PRIMARY,4096,4096,0,24,207483414114,NO,YES
25,PRIMARY,4096,4096,0,25,207483449620,NO,YES
26,PRIMARY,4096,4096,0,26,207483485196,NO,YES
27,PRIMARY,4096,4096,0,27,207483520681,NO,YES
28,PRIMARY,4096,4096,0,28,207483556428,NO,YES
29,PRIMARY,4096,4096,0,29,207483591793,NO,YES
30,PRIMARY,4096,4096,0,30,207483627319,NO,YES
31,PRIMARY,4096,4096,0,31,207483662915,NO,YES
32,PRIMARY,4096,4096,0,32,207483698541,NO,YES
33,PRIMARY,4096,4096,0,33,207483733947,NO,YES
34,PRIMARY,4096,4096,0,34,207483769593,NO,YES
35,PRIMARY,4096,4096,0,35,207483805129,NO,YES
36,PRIMARY,4096,4096,0,36,207483840705,NO,YES
37,PRIMARY,4096,4096,0,37,207483876291,NO,YES
38,PRIMARY,4096,4096,0,38,207483911847,NO,YES
39,PRIMARY,4096,4096,0,39,207483947342,NO,YES
40,PRIMARY,4096,4096,0,40,207483983620,NO,YES
41,PRIMARY,4096,4096,0,41,207484020408,NO,YES
42,PRIMARY,4096,4096,0,42,207484054591,NO,YES
43,PRIMARY,4096,4096,0,43,207484089706,NO,YES
44,PRIMARY,4096,4096,0,44,207484125202,NO,YES
45,PRIMARY,4096,4096,0,45,207484160688,NO,YES
46,PRIMARY,4096,4096,0,46,207484196234,NO,YES
47,PRIMARY,4096,4096,0,47,207484230828,NO,YES
48,PRIMARY,4096,4096,0,48,207484266013,NO,YES
49,PRIMARY,4096,4096,0,49,207484301469,NO,YES
50,PRIMARY,4096,4096,0,50,207484337436,NO,YES
51,PRIMARY,4096,4096,0,51,207484372571,NO,YES
52,PRIMARY,4096,4096,0,52,207484408187,NO,YES
53,PRIMARY,4096,4096,0,53,207484443853,NO,YES
54,PRIMARY,4096,4096,0,54,207484479239,NO,YES
55,PRIMARY,4096,4096,0,55,207484514845,NO,YES
56,PRIMARY,4096,4096,0,56,207484550371,NO,YES
57,PRIMARY,4096,4096,0,57,207484585907,NO,YES
58,PRIMARY,4096,4096,0,58,207484621472,NO,YES
59,PRIMARY,4096,4096,0,59,207484657038,NO,YES
60,PRIMARY,4096,4096,0,60,207484692675,NO,YES
61,PRIMARY,4096,4096,0,61,207484728631,NO,YES
62,PRIMARY,4096,4096,0,62,207484763706,NO,YES
63,PRIMARY,4096,4096,0,63,207484799413,NO,YES
64,PRIMARY,4096,4096,0,64,207484834748,NO,YES
65,PRIMARY,4096,4096,0,65,207484870364,NO,YES
66,PRIMARY,4096,4096,0,66,207484905930,NO,YES
67,PRIMARY,4096,4096,0,67,207484941456,NO,YES
68,PRIMARY,4096,4096,0,68,207484977232,NO,YES
69,PRIMARY,4096,4096,0,69,207485015182,NO,YES
70,PRIMARY,4096,4096,0,70,207485054255,NO,YES
71,PRIMARY,4096,4096,0,71,207485083830,NO,YES
72,PRIMARY,4096,4096,0,72,207485119606,NO,YES
73,PRIMARY,4096,4096,0,73,207485154882,NO,YES
74,PRIMARY,4096,4096,0,74,207485190447,NO,YES
75,PRIMARY,4096,4096,0,75,207485225943,NO,YES
76,PRIMARY,4096,4096,0,76,207485261830,NO,YES
77,PRIMARY,4096,4096,0,77,207485297055,NO,YES
78,PRIMARY,4096,4096,0,78,207485332621,NO,YES
79,PRIMARY,4096,4096,0,79,207485368257,NO,YES
80,PRIMARY,4096,4096,0,80,207485403863,NO,YES
81,PRIMARY,4096,4096,0,81,207485439219,NO,YES
82,PRIMARY,4096,4096,0,82,207485474845,NO,YES
83,PRIMARY,4096,4096,0,83,207485510361,NO,YES
84,PRIMARY,4096,4096,0,84,207485545977,NO,YES
85,PRIMARY,4096,4096,0,85,207485581483,NO,YES
86,PRIMARY,4096,4096,0,86,207485616978,NO,YES
87,PRIMARY,4096,4096,0,87,207485652644,NO,YES
88,PRIMARY,4096,4096,0,88,207485688150,NO,YES
89,PRIMARY,4096,4096,0,89,207485723706,NO,YES
90,PRIMARY,4096,4096,0,90,207485759312,NO,YES
91,PRIMARY,4096,4096,0,91,207485794808,NO,YES
92,PRIMARY,4096,4096,0,92,207485830394,NO,YES
93,PRIMARY,4096,4096,0,93,207485865980,NO,YES
94,PRIMARY,4096,4096,0,94,207485901526,NO,YES
95,PRIMARY,4096,4096,0,95,207485937212,NO,YES
96,PRIMARY,4096,4096,0,96,207485972888,NO,YES
97,PRIMARY,4096,4096,0,97,207486017832,NO,YES
98,PRIMARY,4096,4096,0,98,207486045012,NO,YES
99,PRIMARY,4096,4096,0,99,207486079306,NO,YES
100,PRIMARY,4096,4096,0,100,207486114892,NO,YES
101,PRIMARY,4096,4096,0,101,207486150568,NO,YES
102,PRIMARY,4096,4096,0,102,207486185943,NO,YES
103,PRIMARY,4096,4096,0,103,207486221509,NO,YES
