Field,ValueDecimal,ValueHex
magic,1279543361,0x4C444841
record_version,16641,0x00004101
reset_epoch,2,0x00000002
source_frame_sequence,8128,0x00001FC0
source_line_sequence,319,0x0000013F
source_capture_sequence,8947624,0x008887A8
payload_length,3840,0x00000F00
flags,36,0x00000024
active_logical_channel_count,1,0x00000001
source_slot_generation_and_slot,256,0x00000100
source_malformed_count_snapshot,0,0x00000000
source_dropped_count_snapshot,0,0x00000000
logical_channel_id,0,0x00000000
physical_input_id,0,0x00000000
channel_attempt_sequence,0,0x00000000
global_stream_sequence,0,0x00000000
