CheckIndex,Group,Family,SourceCount,DestinationCount,RequiredNs,DatapathDelayNs,SlackNs,RuntimeMs,Result,ReportSHA256,ObjectsSHA256
1,9,OWNERSHIP_SLOT_SETTLING,2,17,6.000,5.700,0.333,27,PASS,73180341E0A889C7BEE34F590F9BDF668AD4BCBEDB939585C9E2412BD4D0D104,B46DAE7B170E57500FE15C37EE984681FE91AABD6BC7BAFEC722B661F3903E73
2,9,OWNERSHIP_GENERATION_SETTLING,24,17,6.000,4.977,1.056,44,PASS,AFA8F7FAB323DEA5E7348A979A45E51A648EBCD4484466C67897D6363FDF4915,EC5046ADE082619328E4B42C3247BEF6EA3A27E5A61ECE4646CFA06E84F002C5
3,9,OWNERSHIP_EPOCH_SETTLING,32,17,6.000,5.110,0.923,32,PASS,EA4CEAE26CA5C922DE220E1D3A37943DE0C4802EC83D65D097FB29C2882345B1,08B06DE34850B175DC2322EE0CF3F66111D06E40FBB35F7253CE323B4ECA0D26
4,13,RESET_ABANDONED_COUNT_STABLE_PAYLOAD,3,32,6.000,2.950,3.109,23,PASS,020231BFC33F33AD17361858A76B9E1CF8619F624A4F185CA77EA64EC3EC70DE,D355108B0BC73440A53F84F7606EB3B944FD1EF705C776EF2282EF25549483FD
5,13,RESET_COMMIT_PHASE_COMPLETION_BARRIER,4,207,6.000,4.109,1.298,31,PASS,9B2CE5A0428B64717BE68652EE98766FAF1FA12A943CDEB67C0A856D05B92AD7,A6141696B1DF179F6E6D826274049524330B75EC42FC697F40590737DAC8F4A7
6,14,RELEASE_SLOT0_NORMAL_STATE_TRANSITION,56,3,6.000,4.972,1.104,38,PASS,528FD9CE4E9E0476F56E5CC5BF33BCC8DE9B8C76A5A40A57C3B9B7389D36B0BA,A289A2EF69ECF86321C50A4BB0E0051EC78038788DFCBB9BBFA2CC5981BC5468
7,14,RELEASE_SLOT0_MISMATCH_CONTAINMENT,56,4,6.000,5.405,0.628,34,PASS,EED5890897057D9965131CBE4A8FDDC54D1EF6E72B202B11C0CB4DDF422C251C,7B608CEC5F8816ADEEFFAA92418706F02F5604F57821B7C08677AFCEF383CAA8
8,14,RELEASE_SLOT0_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.735,1.337,35,PASS,9494AF86B568960F2730CC8AE27C91B46764194B68A1C2F1BB10E3AAFF6115C0,0927E35A670FDA05E9F92A6F9CE70F03B368FB8B1CF75BB75B99E6D60670D9A0
9,15,RELEASE_SLOT1_NORMAL_STATE_TRANSITION,56,3,6.000,5.028,1.044,33,PASS,ACE5BD868FC830C2B526EAE95AB8D572E2B4BD106DECBD81B514111DCC77C2AC,5F6EABCC85467F66426C31CDC1741E340C910F9EBBEE6C7CFA241FC005BBC0FA
10,15,RELEASE_SLOT1_MISMATCH_CONTAINMENT,56,4,6.000,5.130,0.903,38,PASS,1419CD91D17BCBCD4F30916B447EE10FCEDF8B66513CE07BE9CC3E463CF6B56E,2B4D6DD69BB4E9F1CF7EEFF357C765149CAB89BB682EEC019A8EC7DBBF5262D7
11,15,RELEASE_SLOT1_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.603,1.469,33,PASS,00018F8F75CF5D1B3B59C1B164666CFFB267F6024A78DBC5797C0019971B1F8C,1A3D1370F97752C68386CE7A3567DF983A8B03CA94B8049C8DDA44C5275A4DB6
12,16,RELEASE_SLOT2_NORMAL_STATE_TRANSITION,56,3,6.000,5.884,0.148,34,PASS,AD80474AE9994B0315F2F5C54F5007202A27D31271A6C87114AC47442B4AF9F3,1C80D4B5F79AA087B12DD96DE9A1C5FD61510CC56ACBD6383E16F3889849BE04
13,16,RELEASE_SLOT2_MISMATCH_CONTAINMENT,56,4,6.000,5.143,0.890,35,PASS,1C59E5FB25221B1DCBA3FF33BBF298292E3C7C46F8767E26CA828DBE98DB9136,C738C63A76AA82DBA468FD98144963B7A429D93FF2E49FF16BF8144F6F072527
14,16,RELEASE_SLOT2_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.345,1.727,36,PASS,FDE3EF4739BACAB314FA943D6670F4E251E8167D8EC5FAC7A39E55FAA41B6723,D8EB5975E2E81E51B6EAE0DD89B6158FBB0B7699165D420BF2500CC847FE876E
15,17,RELEASE_SLOT3_NORMAL_STATE_TRANSITION,56,3,6.000,5.620,0.452,33,PASS,9A21C1268DFE20F458FE491D2C7F9F6ED97804FCB50C4674E2B3BAB44585C7D5,7138853A997254595B85CD664E5178CEAFAE899C41EF1F033805C95729D149BD
16,17,RELEASE_SLOT3_MISMATCH_CONTAINMENT,56,4,6.000,5.269,0.764,36,PASS,6A19A1D314473A8FA0CE1A9E107558F158EA8BEE0B9B6400CCD7FBA1805FF0B8,757A4119D3F9DAA8BF6F22DBA3E3C647C2342D1250AFFC783F3A21EEC6EDC903
17,17,RELEASE_SLOT3_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.318,1.754,35,PASS,AFB6B51DC1A9600A72B81FB34D4F60C2F1F8EE80BE4B6612F0F32594D3FA3C69,4F7ADEA75561E56E14EE5287CE9ED13767279D85C0D0DF5EA6E9AE07832D3C95
