Group,Name,Method,Result
1,CFG_PCIE_TO_NVP,ACTIVE_SET_BUS_SKEW_3NS,PASS_ACTIVE_BUS_SKEW
2,STATUS_NVP_TO_PCIE,ACTIVE_SET_BUS_SKEW_3NS,PASS_ACTIVE_BUS_SKEW
3,DIAGNOSTIC_GRAY_TO_FIRST_STAGE,ACTIVE_SET_BUS_SKEW_3NS,PASS_ACTIVE_BUS_SKEW
4,SNAPSHOT_GRAY_SOURCE_TO_AXI,ACTIVE_SET_BUS_SKEW_3NS,PASS_ACTIVE_BUS_SKEW
5,SNAPSHOT_EPOCH_SOURCE_TO_AXI,ACTIVE_SET_BUS_SKEW_3NS,PASS_ACTIVE_BUS_SKEW
6,HARD_EVENT_BASELINE_SOURCE_TO_AXI,ACTIVE_SET_BUS_SKEW_3NS,PASS_ACTIVE_BUS_SKEW
7,SNAPSHOT_EPOCH_AXI_TO_SOURCE,ACTIVE_SET_BUS_SKEW_3NS,PASS_ACTIVE_BUS_SKEW
8,TRANSPORT_AXI_TO_SOURCE,ACTIVE_SET_BUS_SKEW_3NS,PASS_ACTIVE_BUS_SKEW
9,OWNERSHIP_AXI_TO_SOURCE,PROMOTED_SETTLING_PLUS_STRUCTURAL_CDC,PASS_PROMOTED_REPLACEMENT
10,DESCRIPTOR_ATTEMPT_SOURCE_TO_AXI,ACTIVE_SET_BUS_SKEW_3NS,PASS_ACTIVE_BUS_SKEW
11,DESCRIPTOR_GENERATION_SOURCE_TO_AXI,ACTIVE_SET_BUS_SKEW_3NS,PASS_ACTIVE_BUS_SKEW
12,DESCRIPTOR_EPOCH_SOURCE_TO_AXI,ACTIVE_SET_BUS_SKEW_3NS,PASS_ACTIVE_BUS_SKEW
13,RESET_RETURN_SOURCE_TO_AXI,PROMOTED_SETTLING_PLUS_STRUCTURAL_CDC,PASS_PROMOTED_REPLACEMENT
14,RELEASE_SLOT_0_AXI_TO_SOURCE,PROMOTED_SETTLING_PLUS_STRUCTURAL_CDC,PASS_PROMOTED_REPLACEMENT
15,RELEASE_SLOT_1_AXI_TO_SOURCE,PROMOTED_SETTLING_PLUS_STRUCTURAL_CDC,PASS_PROMOTED_REPLACEMENT
16,RELEASE_SLOT_2_AXI_TO_SOURCE,PROMOTED_SETTLING_PLUS_STRUCTURAL_CDC,PASS_PROMOTED_REPLACEMENT
17,RELEASE_SLOT_3_AXI_TO_SOURCE,PROMOTED_SETTLING_PLUS_STRUCTURAL_CDC,PASS_PROMOTED_REPLACEMENT
