Name,Severity,Rule
"PDCN-1569#1","WARNING","PDCN-1569"
"REQP-1839#1","WARNING","REQP-1839"
"REQP-1839#2","WARNING","REQP-1839"
"REQP-1839#3","WARNING","REQP-1839"
"REQP-1839#4","WARNING","REQP-1839"
"REQP-1839#5","WARNING","REQP-1839"
"REQP-1839#6","WARNING","REQP-1839"
"REQP-1839#7","WARNING","REQP-1839"
"REQP-1839#8","WARNING","REQP-1839"
"REQP-1839#9","WARNING","REQP-1839"
"REQP-1839#10","WARNING","REQP-1839"
"REQP-1839#11","WARNING","REQP-1839"
"REQP-1839#12","WARNING","REQP-1839"
"RTSTAT-10#1","WARNING","RTSTAT-10"
