Offset,Register,Access,Reset_Value,Width,Field,Bits,Meaning,Valid_States,Error_Behavior
0x3C00,DIAG_ID,RO,0x47414944,32,DIAG_ID,31:0,little-endian ASCII DIAG,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C04,DIAG_VERSION,RO,0x00010000,32,DIAG_VERSION,31:0,MMIO major1 minor0,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C08,DIAG_CAPABILITIES,RO,0x00001BF8,32,LIVE_VIDEO_SUPPORTED,0:0,withheld pending NVP evidence,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C08,DIAG_CAPABILITIES,RO,0x00001BF8,32,FOUR_INPUT_SELECTION_SUPPORTED,1:1,withheld pending NVP evidence,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C08,DIAG_CAPABILITIES,RO,0x00001BF8,32,AUTO_SCAN_SUPPORTED,2:2,withheld pending NVP evidence,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C08,DIAG_CAPABILITIES,RO,0x00001BF8,32,SYNTHETIC_VIDEO_SUPPORTED,3:3,future implementation capability,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C08,DIAG_CAPABILITIES,RO,0x00001BF8,32,SYNTHETIC_RECORD_SUPPORTED,4:4,future implementation capability,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C08,DIAG_CAPABILITIES,RO,0x00001BF8,32,FRAME_LIMIT_SUPPORTED,5:5,future implementation capability,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C08,DIAG_CAPABILITIES,RO,0x00001BF8,32,RECORD_LIMIT_SUPPORTED,6:6,future implementation capability,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C08,DIAG_CAPABILITIES,RO,0x00001BF8,32,PACED_1080P25_SUPPORTED,7:7,future implementation capability,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C08,DIAG_CAPABILITIES,RO,0x00001BF8,32,MAX_RATE_SUPPORTED,8:8,future implementation capability,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C08,DIAG_CAPABILITIES,RO,0x00001BF8,32,STRESS_SCHEDULER_SUPPORTED,9:9,future implementation capability,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C08,DIAG_CAPABILITIES,RO,0x00001BF8,32,LOSS_RESCAN_SUPPORTED,10:10,withheld pending NVP evidence,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
