ROLE,FAMILY,OBJECT_NAME,CLOCKS
SOURCE,RESET_ABANDONED_HOLD,"G2B_ONECH_C2H/reset_abandoned_hold_source_reg[0]","nvp_vclk1"
SOURCE,RESET_ABANDONED_HOLD,"G2B_ONECH_C2H/reset_abandoned_hold_source_reg[1]","nvp_vclk1"
SOURCE,RESET_ABANDONED_HOLD,"G2B_ONECH_C2H/reset_abandoned_hold_source_reg[2]","nvp_vclk1"
SOURCE,RESET_COMMIT_PHASE_HOLD,"G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]","nvp_vclk1"
SOURCE,RESET_COMMIT_PHASE_HOLD,"G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","nvp_vclk1"
SOURCE,RESET_COMMIT_PHASE_HOLD,"G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[2]","nvp_vclk1"
SOURCE,RESET_COMMIT_PHASE_HOLD,"G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[3]","nvp_vclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/axi_hard_episode_reg","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/axis_state_reg[0]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/axis_state_reg[1]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/axis_state_reg[2]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/commit_seen_axi_reg[0]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/commit_seen_axi_reg[1]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/commit_seen_axi_reg[2]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/commit_seen_axi_reg[3]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/fatal_clear_qualified_axi_reg","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[0]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[1]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[2]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[3]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[4]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[5]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[6]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[7]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[8]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[9]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[10]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[11]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[12]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[13]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[14]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[15]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[16]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[17]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[18]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[19]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[20]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[21]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[22]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[23]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[24]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[25]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[26]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[27]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[28]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[29]","userclk1"
DESTINATION,RESET_RETURN_CONTROL_STATE,"G2B_ONECH_C2H/global_stream_next_axi_reg[30]","userclk1"
