INDEX,STARTPOINT_PIN,ENDPOINT_PIN,STARTPOINT_CLOCK,ENDPOINT_CLOCK,DATAPATH_DELAY_NS,REQUIREMENT_NS,SLACK_NS,LOGIC_LEVELS,EXCEPTION,PATH_TYPE
"1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[21]/R","nvp_vclk1","userclk1","3.756","6.000","1.723","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"2","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[21]/R","nvp_vclk1","userclk1","3.756","6.000","1.723","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"3","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[21]/R","nvp_vclk1","userclk1","3.756","6.000","1.723","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"4","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[21]/R","nvp_vclk1","userclk1","3.756","6.000","1.723","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"5","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[22]/R","nvp_vclk1","userclk1","3.756","6.000","1.723","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"6","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[22]/R","nvp_vclk1","userclk1","3.756","6.000","1.723","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"7","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[22]/R","nvp_vclk1","userclk1","3.756","6.000","1.723","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"8","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[22]/R","nvp_vclk1","userclk1","3.756","6.000","1.723","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"9","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[23]/R","nvp_vclk1","userclk1","3.756","6.000","1.723","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"10","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[23]/R","nvp_vclk1","userclk1","3.756","6.000","1.723","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"11","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[23]/R","nvp_vclk1","userclk1","3.756","6.000","1.723","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"12","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[23]/R","nvp_vclk1","userclk1","3.756","6.000","1.723","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"13","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[24]/R","nvp_vclk1","userclk1","3.756","6.000","1.723","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"14","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[24]/R","nvp_vclk1","userclk1","3.756","6.000","1.723","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"15","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[24]/R","nvp_vclk1","userclk1","3.756","6.000","1.723","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"16","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[24]/R","nvp_vclk1","userclk1","3.756","6.000","1.723","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"17","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[29]/R","nvp_vclk1","userclk1","3.745","6.000","1.734","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"18","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[29]/R","nvp_vclk1","userclk1","3.745","6.000","1.734","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"19","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[29]/R","nvp_vclk1","userclk1","3.745","6.000","1.734","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"20","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[29]/R","nvp_vclk1","userclk1","3.745","6.000","1.734","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"21","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[30]/R","nvp_vclk1","userclk1","3.745","6.000","1.734","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"22","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[30]/R","nvp_vclk1","userclk1","3.745","6.000","1.734","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"23","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[30]/R","nvp_vclk1","userclk1","3.745","6.000","1.734","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"24","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[30]/R","nvp_vclk1","userclk1","3.745","6.000","1.734","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"25","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[31]/R","nvp_vclk1","userclk1","3.745","6.000","1.734","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"26","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[31]/R","nvp_vclk1","userclk1","3.745","6.000","1.734","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"27","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[31]/R","nvp_vclk1","userclk1","3.745","6.000","1.734","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"28","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[31]/R","nvp_vclk1","userclk1","3.745","6.000","1.734","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"29","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[1]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"30","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[1]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"31","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[1]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"32","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[1]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"33","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[2]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"34","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[2]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"35","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[2]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"36","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[2]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"37","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[3]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"38","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[3]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"39","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[3]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"40","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[3]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"41","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[4]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"42","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[4]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"43","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[4]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"44","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[4]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"45","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[5]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"46","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[5]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"47","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[5]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"48","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[5]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"49","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[6]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"50","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[6]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"51","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[6]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"52","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[6]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
"53","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_epoch_axi_reg[7]/CE","nvp_vclk1","userclk1","3.934","6.000","1.739","5","MaxDelay Path 6.000ns -datapath_only","N/A"
