INDEX,STARTPOINT_PIN,ENDPOINT_PIN,STARTPOINT_CLOCK,ENDPOINT_CLOCK,DATAPATH_DELAY_NS,REQUIREMENT_NS,SLACK_NS,LOGIC_LEVELS,EXCEPTION,PATH_TYPE
"1","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","5.554","6.000","0.478","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"2","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","5.554","6.000","0.478","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"3","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","5.554","6.000","0.478","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"4","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","5.554","6.000","0.478","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"5","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","5.554","6.000","0.478","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"6","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","5.554","6.000","0.478","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"7","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","5.554","6.000","0.478","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"8","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/source_ownership_fatal_reg/D","userclk1","nvp_vclk1","5.486","6.000","0.546","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"9","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/source_ownership_fatal_reg/D","userclk1","nvp_vclk1","5.486","6.000","0.546","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"10","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/source_ownership_fatal_reg/D","userclk1","nvp_vclk1","5.486","6.000","0.546","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"11","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/source_ownership_fatal_reg/D","userclk1","nvp_vclk1","5.486","6.000","0.546","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"12","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/source_ownership_fatal_reg/D","userclk1","nvp_vclk1","5.486","6.000","0.546","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"13","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/source_ownership_fatal_reg/D","userclk1","nvp_vclk1","5.486","6.000","0.546","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"14","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/source_ownership_fatal_reg/D","userclk1","nvp_vclk1","5.486","6.000","0.546","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"15","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/slot_state_source_reg[0][1]/D","userclk1","nvp_vclk1","5.467","6.000","0.563","8","MaxDelay Path 6.000ns -datapath_only","N/A"
