Slot,Query_Kind,Index,Startpoint_Pin,Endpoint_Pin,Startpoint_Clock,Endpoint_Clock,Datapath_Delay_ns,Requirement_ns,Slack_ns,Logic_Levels,Exception,Endpoint_Role,Path_Type
"2","ORIGINAL_GROUP_SCOPE","1","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","5.772","6.000","0.260","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","2","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","5.772","6.000","0.260","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","3","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","5.772","6.000","0.260","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","4","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","5.772","6.000","0.260","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","5","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","5.772","6.000","0.260","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","6","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","5.772","6.000","0.260","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","7","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","5.772","6.000","0.260","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","8","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_reg/D","userclk1","nvp_vclk1","5.704","6.000","0.328","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","9","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_reg/D","userclk1","nvp_vclk1","5.704","6.000","0.328","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","10","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_reg/D","userclk1","nvp_vclk1","5.704","6.000","0.328","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","11","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_reg/D","userclk1","nvp_vclk1","5.704","6.000","0.328","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","12","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_reg/D","userclk1","nvp_vclk1","5.704","6.000","0.328","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","13","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_reg/D","userclk1","nvp_vclk1","5.704","6.000","0.328","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","14","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_reg/D","userclk1","nvp_vclk1","5.704","6.000","0.328","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","15","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_event_reg/D","userclk1","nvp_vclk1","5.713","6.000","0.363","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","16","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_event_reg/D","userclk1","nvp_vclk1","5.713","6.000","0.363","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","17","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_event_reg/D","userclk1","nvp_vclk1","5.713","6.000","0.363","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","18","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_event_reg/D","userclk1","nvp_vclk1","5.713","6.000","0.363","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","19","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_event_reg/D","userclk1","nvp_vclk1","5.713","6.000","0.363","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","20","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_event_reg/D","userclk1","nvp_vclk1","5.713","6.000","0.363","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","21","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_event_reg/D","userclk1","nvp_vclk1","5.713","6.000","0.363","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","22","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/enable_applied_source_reg/D","userclk1","nvp_vclk1","5.642","6.000","0.388","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","23","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/enable_applied_source_reg/D","userclk1","nvp_vclk1","5.642","6.000","0.388","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","24","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/enable_applied_source_reg/D","userclk1","nvp_vclk1","5.642","6.000","0.388","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","25","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/enable_applied_source_reg/D","userclk1","nvp_vclk1","5.642","6.000","0.388","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","26","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/enable_applied_source_reg/D","userclk1","nvp_vclk1","5.642","6.000","0.388","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"2","ORIGINAL_GROUP_SCOPE","27","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/enable_applied_source_reg/D","userclk1","nvp_vclk1","5.642","6.000","0.388","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
