Group,Name,Current_Governed_Method,Result,Result_Source,Fresh_or_Preserved,Evidence_Commit,Required_Value,Actual_Value,Slack,Runtime,Disposition
1,CFG_PCIE_TO_NVP,BUS_SKEW,PRESERVED_PASS,C:\FPGA\G2B_LUT1_PRODUCT_PRECOMMIT_EVIDENCE_20260831_12\BUS_SKEW_GROUPS\01_CFG_PCIE_TO_NVP_BUS_SKEW.rpt,PRESERVED,765f5a5d4760f7a685447651dc68179b2fd96846,3.000,1.146,1.854,PRESERVED_RAW_REPORT,Accepted Gen12 physical result; exact raw artifact sealed in this package; recovery-1 preservation authority
2,STATUS_NVP_TO_PCIE,BUS_SKEW,PRESERVED_PASS,C:\FPGA\G2B_LUT1_PRODUCT_PRECOMMIT_EVIDENCE_20260831_12\BUS_SKEW_GROUPS\02_STATUS_NVP_TO_PCIE_BUS_SKEW.rpt,PRESERVED,765f5a5d4760f7a685447651dc68179b2fd96846,3.000,1.404,1.596,PRESERVED_RAW_REPORT,Accepted Gen12 physical result; exact raw artifact sealed in this package; recovery-1 preservation authority
3,DIAGNOSTIC_GRAY_TO_FIRST_STAGE,BUS_SKEW,PRESERVED_PASS,C:\FPGA\G2B_LUT1_PRODUCT_PRECOMMIT_EVIDENCE_20260831_12\BUS_SKEW_GROUPS\03_DIAGNOSTIC_GRAY_TO_FIRST_STAGE_BUS_SKEW.rpt,PRESERVED,765f5a5d4760f7a685447651dc68179b2fd96846,3.000,1.403,1.597,PRESERVED_RAW_REPORT,Accepted Gen12 physical result; exact raw artifact sealed in this package; recovery-1 preservation authority
4,SNAPSHOT_GRAY_SOURCE_TO_AXI,BUS_SKEW,PRESERVED_PASS,C:\FPGA\G2B_LUT1_PRODUCT_PRECOMMIT_EVIDENCE_20260831_12\BUS_SKEW_GROUPS\04_SNAPSHOT_GRAY_SOURCE_TO_AXI_BUS_SKEW.rpt,PRESERVED,765f5a5d4760f7a685447651dc68179b2fd96846,3.000,1.073,1.927,PRESERVED_RAW_REPORT,Accepted Gen12 physical result; exact raw artifact sealed in this package; recovery-1 preservation authority
5,SNAPSHOT_EPOCH_SOURCE_TO_AXI,BUS_SKEW,PRESERVED_PASS,C:\FPGA\G2B_LUT1_PRODUCT_PRECOMMIT_EVIDENCE_20260831_12\BUS_SKEW_GROUPS\05_SNAPSHOT_EPOCH_SOURCE_TO_AXI_BUS_SKEW.rpt,PRESERVED,765f5a5d4760f7a685447651dc68179b2fd96846,3.000,1.058,1.942,PRESERVED_RAW_REPORT,Accepted Gen12 physical result; exact raw artifact sealed in this package; recovery-1 preservation authority
6,HARD_EVENT_BASELINE_SOURCE_TO_AXI,BUS_SKEW,PRESERVED_PASS,C:\FPGA\G2B_LUT1_PRODUCT_PRECOMMIT_EVIDENCE_20260831_12\BUS_SKEW_GROUPS\06_HARD_EVENT_BASELINE_SOURCE_TO_AXI_BUS_SKEW.rpt,PRESERVED,765f5a5d4760f7a685447651dc68179b2fd96846,3.000,0.753,2.247,PRESERVED_RAW_REPORT,Accepted Gen12 physical result; exact raw artifact sealed in this package; recovery-1 preservation authority
7,SNAPSHOT_EPOCH_AXI_TO_SOURCE,BUS_SKEW,PRESERVED_PASS,C:\FPGA\G2B_LUT1_PRODUCT_PRECOMMIT_EVIDENCE_20260831_12\BUS_SKEW_GROUPS\07_SNAPSHOT_EPOCH_AXI_TO_SOURCE_BUS_SKEW.rpt,PRESERVED,765f5a5d4760f7a685447651dc68179b2fd96846,3.000,1.078,1.922,PRESERVED_RAW_REPORT,Accepted Gen12 physical result; exact raw artifact sealed in this package; recovery-1 preservation authority
8,TRANSPORT_AXI_TO_SOURCE,BUS_SKEW,PRESERVED_PASS,C:\FPGA\G2B_LUT1_PRODUCT_PRECOMMIT_EVIDENCE_20260831_12\BUS_SKEW_GROUPS\08_TRANSPORT_AXI_TO_SOURCE_BUS_SKEW.rpt,PRESERVED,765f5a5d4760f7a685447651dc68179b2fd96846,3.000,2.039,0.961,PRESERVED_RAW_REPORT,Accepted Gen12 physical result; exact raw artifact sealed in this package; recovery-1 preservation authority
9,OWNERSHIP_AXI_TO_SOURCE,PER_FAMILY_SETTLING_PLUS_STRUCTURAL_CDC,PRESERVED_PASS,C:\FPGA\V41_G2B_EVIDENCE\v41-development-g2b-lut1-signoff-recovery\G2B_LUT1_GROUP9_SIGNOFF_RESULTS.csv,PRESERVED,765f5a5d4760f7a685447651dc68179b2fd96846,6.000,5.939;5.308;5.423,0.093;0.724;0.609,PRESERVED;PRESERVED;PRESERVED,All semantic families PASS; exact sealed routed DCP and unchanged collections
10,DESCRIPTOR_ATTEMPT_SOURCE_TO_AXI,BUS_SKEW,PRESERVED_PASS,C:\FPGA\V41_G2B_EVIDENCE\v41-development-g2b-lut1-signoff-recovery\G2B_LUT1_GROUPS10_17_RESULTS.csv,PRESERVED,765f5a5d4760f7a685447651dc68179b2fd96846,3.000,1.199,1.801,102.909,Current governed relation unchanged
11,DESCRIPTOR_GENERATION_SOURCE_TO_AXI,BUS_SKEW,PRESERVED_PASS,C:\FPGA\V41_G2B_EVIDENCE\v41-development-g2b-lut1-signoff-recovery\G2B_LUT1_GROUPS10_17_RESULTS.csv,PRESERVED,765f5a5d4760f7a685447651dc68179b2fd96846,3.000,1.070,1.930,102.835,Current governed relation unchanged
12,DESCRIPTOR_EPOCH_SOURCE_TO_AXI,BUS_SKEW,PRESERVED_PASS,C:\FPGA\V41_G2B_EVIDENCE\v41-development-g2b-lut1-signoff-recovery\G2B_LUT1_GROUPS10_17_RESULTS.csv,PRESERVED,765f5a5d4760f7a685447651dc68179b2fd96846,3.000,1.664,1.336,82.701,Current governed relation unchanged
13,RESET_RETURN_SOURCE_TO_AXI,SETTLING_PLUS_STRUCTURAL_CDC,PRESERVED_PASS,C:\FPGA\V41_G2B_EVIDENCE\v41-development-g2b-lut1-signoff-recovery-2\G2B_LUT1_GROUP13_SIGNOFF_RESULTS.csv,PRESERVED,a88772c9a36637a5caee9d7d3756e28079074240,6.000,2.634;3.756,3.467;1.723,92.149;5.862,All semantic families PASS; exact sealed routed DCP and unchanged collections
14,RELEASE_SLOT_0_AXI_TO_SOURCE,SETTLING_PLUS_STRUCTURAL_CDC,PRESERVED_PASS,C:\FPGA\V41_G2B_EVIDENCE\v41-development-g2b-lut1-signoff-recovery-3\G2B_LUT1_GROUP14_SIGNOFF_RESULTS.csv,PRESERVED,d8fba44fe4a7446ccefdd86027f2c2be73225f91,6.000,5.467;5.554;4.191,0.563;0.478;1.839,69.444;0.154;0.171,All semantic families PASS; exact sealed routed DCP and unchanged collections
15,RELEASE_SLOT_1_AXI_TO_SOURCE,SETTLING_PLUS_STRUCTURAL_CDC,FRESH_PASS,G2B_LUT1_RECOVERY4_GROUPS15_17_RESULTS.csv,FRESH,THIS_PACKAGE,6.000,5.548;5.576;4.338,0.528;0.456;1.692,25.722;1.66;0.067,Three slot-specific semantic families; physical symmetry not assumed
16,RELEASE_SLOT_2_AXI_TO_SOURCE,SETTLING_PLUS_STRUCTURAL_CDC,FRESH_PASS,G2B_LUT1_RECOVERY4_GROUPS15_17_RESULTS.csv,FRESH,THIS_PACKAGE,6.000,5.473;5.772;4.480,0.559;0.260;1.550,0.067;0.077;0.069,Three slot-specific semantic families; physical symmetry not assumed
17,RELEASE_SLOT_3_AXI_TO_SOURCE,SETTLING_PLUS_STRUCTURAL_CDC,FRESH_PASS,G2B_LUT1_RECOVERY4_GROUPS15_17_RESULTS.csv,FRESH,THIS_PACKAGE,6.000,5.515;5.729;4.585,0.557;0.303;1.445,0.065;0.067;0.067,Three slot-specific semantic families; physical symmetry not assumed
