Property                                  Type    Read-only  Value
AER_BASE_PTR                              hex     false      12'h000
AER_CAP_ECRC_CHECK_CAPABLE                string  false      FALSE
AER_CAP_ECRC_GEN_CAPABLE                  string  false      FALSE
AER_CAP_ID                                hex     false      16'h0001
AER_CAP_MULTIHEADER                       string  false      FALSE
AER_CAP_NEXTPTR                           hex     false      12'h000
AER_CAP_ON                                string  false      FALSE
AER_CAP_OPTIONAL_ERR_SUPPORT              hex     false      24'h000000
AER_CAP_PERMIT_ROOTERR_UPDATE             string  false      FALSE
AER_CAP_VERSION                           hex     false      4'h1
ALLOW_X8_GEN2                             string  false      FALSE
BAR0                                      hex     false      32'hFFFE0000
BAR1                                      hex     false      32'hFFFF0000
BAR2                                      hex     false      32'h00000000
BAR3                                      hex     false      32'h00000000
BAR4                                      hex     false      32'h00000000
BAR5                                      hex     false      32'h00000000
BEL                                       string  false      PCIE_2_1.PCIE_2_1
BOX_TYPE                                  string  false      PRIMITIVE
CAPABILITIES_PTR                          hex     false      8'h40
CARDBUS_CIS_POINTER                       hex     false      32'h00000000
CFG_ECRC_ERR_CPLSTAT                      int     false      0
CLASS                                     string  true       cell
CLASS_CODE                                hex     false      24'h058000
CMD_INTX_IMPLEMENTED                      string  false      TRUE
CPL_TIMEOUT_DISABLE_SUPPORTED             string  false      FALSE
CPL_TIMEOUT_RANGES_SUPPORTED              hex     false      4'h2
CRM_MODULE_RSTS                           hex     false      7'h00
DEV_CAP2_ARI_FORWARDING_SUPPORTED         string  false      FALSE
DEV_CAP2_ATOMICOP32_COMPLETER_SUPPORTED   string  false      FALSE
DEV_CAP2_ATOMICOP64_COMPLETER_SUPPORTED   string  false      FALSE
DEV_CAP2_ATOMICOP_ROUTING_SUPPORTED       string  false      FALSE
DEV_CAP2_CAS128_COMPLETER_SUPPORTED       string  false      FALSE
DEV_CAP2_ENDEND_TLP_PREFIX_SUPPORTED      string  false      FALSE
DEV_CAP2_EXTENDED_FMT_FIELD_SUPPORTED     string  false      FALSE
DEV_CAP2_LTR_MECHANISM_SUPPORTED          string  false      FALSE
DEV_CAP2_MAX_ENDEND_TLP_PREFIXES          hex     false      2'h0
DEV_CAP2_NO_RO_ENABLED_PRPR_PASSING       string  false      FALSE
DEV_CAP2_TPH_COMPLETER_SUPPORTED          hex     false      2'h0
DEV_CAP_ENABLE_SLOT_PWR_LIMIT_SCALE       string  false      TRUE
DEV_CAP_ENABLE_SLOT_PWR_LIMIT_VALUE       string  false      TRUE
DEV_CAP_ENDPOINT_L0S_LATENCY              int     false      0
DEV_CAP_ENDPOINT_L1_LATENCY               int     false      7
DEV_CAP_EXT_TAG_SUPPORTED                 string  false      TRUE
DEV_CAP_FUNCTION_LEVEL_RESET_CAPABLE      string  false      FALSE
DEV_CAP_MAX_PAYLOAD_SUPPORTED             int     false      2
DEV_CAP_PHANTOM_FUNCTIONS_SUPPORT         int     false      0
DEV_CAP_ROLE_BASED_ERROR                  string  false      TRUE
DEV_CAP_RSVD_14_12                        int     false      0
DEV_CAP_RSVD_17_16                        int     false      0
DEV_CAP_RSVD_31_29                        int     false      0
DEV_CONTROL_AUX_POWER_SUPPORTED           string  false      FALSE
DEV_CONTROL_EXT_TAG_DEFAULT               string  false      FALSE
DISABLE_ASPM_L1_TIMER                     string  false      FALSE
DISABLE_BAR_FILTERING                     string  false      FALSE
DISABLE_ERR_MSG                           string  false      FALSE
DISABLE_ID_CHECK                          string  false      FALSE
DISABLE_LANE_REVERSAL                     string  false      TRUE
DISABLE_LOCKED_FILTER                     string  false      FALSE
DISABLE_PPM_FILTER                        string  false      FALSE
DISABLE_RX_POISONED_RESP                  string  false      FALSE
DISABLE_RX_TC_FILTER                      string  false      FALSE
DISABLE_SCRAMBLING                        string  false      FALSE
DNSTREAM_LINK_NUM                         hex     false      8'h00
DSN_BASE_PTR                              hex     false      12'h100
DSN_CAP_ID                                hex     false      16'h0003
DSN_CAP_NEXTPTR                           hex     false      12'h000
DSN_CAP_ON                                string  false      TRUE
DSN_CAP_VERSION                           hex     false      4'h1
ENABLE_MSG_ROUTE                          hex     false      11'h000
ENABLE_RX_TD_ECRC_TRIM                    string  false      FALSE
ENDEND_TLP_PREFIX_FORWARDING_SUPPORTED    string  false      FALSE
ENTER_RVRY_EI_L0                          string  false      TRUE
EXIT_LOOPBACK_ON_EI                       string  false      TRUE
EXPANSION_ROM                             hex     false      32'h00000000
EXT_CFG_CAP_PTR                           hex     false      6'h3F
EXT_CFG_XP_CAP_PTR                        hex     false      10'h3FF
