Group,DataEntries,ReadTransactions,WriteTransactions,TotalTransactions,SCLPeriods,EstimatedTimeMsAt25000Hz,MaximumOwnershipIntervalMs
ENTRY_BANK_CAPTURE,0,1,0,1,36,1.440,1.440
G0-PRE,1,2,1,3,99,3.960,3.960
G0-ID,3,4,1,5,171,6.840,6.840
G0-LOCK,7,8,1,9,315,12.600,12.600
G0-CH,16,17,1,18,639,25.560,25.560
G1,10,11,1,12,423,16.920,16.920
G2,11,12,1,13,459,18.360,18.360
G3,11,12,1,13,459,18.360,18.360
G4,11,12,1,13,459,18.360,18.360
G5,11,12,1,13,459,18.360,18.360
G0-POST,1,2,1,3,99,3.960,3.960
ENTRY_BANK_RESTORE,0,1,1,2,63,2.520,2.520
TOTAL,82,94,11,105,3681,147.240,25.56
