Bank,Register,FinalValue,KnownMask,FinalFieldClass,LastTraceStep,Layer,Authority,Note
0x00,0x00,0x00,0xFF,KNOWN_FINAL_VALUE,130,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_544,deterministic whole-byte write
0x00,0x01,0x00,0xFF,KNOWN_FINAL_VALUE,131,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_545,deterministic whole-byte write
0x00,0x02,0x00,0xFF,KNOWN_FINAL_VALUE,132,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_546,deterministic whole-byte write
0x00,0x03,0x00,0xFF,KNOWN_FINAL_VALUE,133,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_547,deterministic whole-byte write
0x00,0x08,0x00,0xFF,KNOWN_FINAL_VALUE,134,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_526,deterministic whole-byte write
0x00,0x09,0x00,0xFF,KNOWN_FINAL_VALUE,135,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_527,deterministic whole-byte write
0x00,0x0A,0x00,0xFF,KNOWN_FINAL_VALUE,136,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_528,deterministic whole-byte write
0x00,0x0B,0x00,0xFF,KNOWN_FINAL_VALUE,137,DIAGNOSTIC_PROFILE_OVERLAY,CURRENT_V41_SOURCE_LINE_529,deterministic whole-byte write
0x00,0x0C,0x08,0xFF,KNOWN_FINAL_VALUE,39,PRODUCT_EQUIVALENT_AUTOINIT,CURRENT_V41_SOURCE_LINE_267,deterministic whole-byte write
0x00,0x10,0x88,0xFF,KNOWN_FINAL_VALUE,40,PRODUCT_EQUIVALENT_AUTOINIT,CURRENT_V41_SOURCE_LINE_268,deterministic whole-byte write
0x00,0x14,0x90,0xFF,KNOWN_FINAL_VALUE,41,PRODUCT_EQUIVALENT_AUTOINIT,CURRENT_V41_SOURCE_LINE_269,deterministic whole-byte write
0x00,0x18,0x14,0xFF,KNOWN_FINAL_VALUE,102,PRODUCT_EQUIVALENT_AUTOINIT,CURRENT_V41_SOURCE_LINE_330,deterministic whole-byte write
0x00,0x21,0x02,0xFF,KNOWN_FINAL_VALUE,43,PRODUCT_EQUIVALENT_AUTOINIT,CURRENT_V41_SOURCE_LINE_271,deterministic whole-byte write
0x00,0x22,UNKNOWN,0x00,NOT_WRITTEN_BY_CURRENT_V41,N/A,RESET_DEFAULT_OR_UNTOUCHED,NO_CURRENT_V41_WRITE,reset default is not authoritative in available evidence
0x00,0x23,0x43,0xFF,KNOWN_FINAL_VALUE,12,PRODUCT_EQUIVALENT_AUTOINIT,CURRENT_V41_SOURCE_LINE_240,deterministic whole-byte write
0x00,0x30,0x10,0xFF,KNOWN_FINAL_VALUE,103,PRODUCT_EQUIVALENT_AUTOINIT,CURRENT_V41_SOURCE_LINE_331,deterministic whole-byte write
0x00,0x34,0x02,0xFF,KNOWN_FINAL_VALUE,14,PRODUCT_EQUIVALENT_AUTOINIT,CURRENT_V41_SOURCE_LINE_242,deterministic whole-byte write
