Step,Layer,OperationType,Bank,Register,Value,Mask,Condition,DelayMs,SourcePath,SourceLine,FinalFieldClass,Note
1,RESET,RESET_ASSERT,N/A,NVP_RST,0,N/A,rst or first 500 ms,500,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,154,KNOWN_FINAL_VALUE,wrapper holds NVP reset active
2,RESET,RESET_RELEASE,N/A,NVP_RST,1,N/A,after 500 ms,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,154,KNOWN_FINAL_VALUE,wrapper releases NVP reset
3,START_DELAY,DELAY,N/A,N/A,N/A,N/A,before autoinit start,1000,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,182,KNOWN_FINAL_VALUE,start occurs 1.5 s after wrapper reset
4,ENTRY_BANK,READ,CURRENT,0xFF,CAPTURED_ENTRY_BANK,0xFF,before table,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,1966,SYMBOLIC_UNKNOWN_BITS,entry bank is captured and later restored
5,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x80,0x0F,0xFF,stage2 slot 0,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,233,KNOWN_FINAL_VALUE,enabled stage-2 source table word
6,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x01,0xCA,0x66,0xFF,stage2 slot 1,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,234,KNOWN_FINAL_VALUE,enabled stage-2 source table word
7,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x03,0x6B,0x00,0xFF,stage2 slot 2,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,235,KNOWN_FINAL_VALUE,enabled stage-2 source table word
8,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x03,0x3A,0x01,0xFF,stage2 slot 3,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,236,KNOWN_FINAL_VALUE,enabled stage-2 source table word
9,PRODUCT_EQUIVALENT_AUTOINIT,DELAY,N/A,N/A,N/A,N/A,stage2 slot 4,10,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,237,KNOWN_FINAL_VALUE,qualified fixed table delay
10,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x03,0x3A,0x00,0xFF,stage2 slot 5,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,238,KNOWN_FINAL_VALUE,enabled stage-2 source table word
11,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x00,0x10,0xFF,stage2 slot 6,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,239,KNOWN_FINAL_VALUE,enabled stage-2 source table word
12,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x23,0x43,0xFF,stage2 slot 7,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,240,KNOWN_FINAL_VALUE,enabled stage-2 source table word
13,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x30,0x10,0xFF,stage2 slot 8,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,241,KNOWN_FINAL_VALUE,enabled stage-2 source table word
14,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x34,0x02,0xFF,stage2 slot 9,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,242,KNOWN_FINAL_VALUE,enabled stage-2 source table word
15,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x93,0x00,0xFF,stage2 slot 10,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,243,KNOWN_FINAL_VALUE,enabled stage-2 source table word
16,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x00,0xC0,0xFF,stage2 slot 11,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,244,KNOWN_FINAL_VALUE,enabled stage-2 source table word
17,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x01,0x02,0xFF,stage2 slot 12,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,245,KNOWN_FINAL_VALUE,enabled stage-2 source table word
18,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x08,0x50,0xFF,stage2 slot 13,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,246,KNOWN_FINAL_VALUE,enabled stage-2 source table word
19,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x11,0x06,0xFF,stage2 slot 14,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,247,KNOWN_FINAL_VALUE,enabled stage-2 source table word
20,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x23,0x00,0xFF,stage2 slot 15,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,248,KNOWN_FINAL_VALUE,enabled stage-2 source table word
21,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x2A,0x52,0xFF,stage2 slot 16,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,249,KNOWN_FINAL_VALUE,enabled stage-2 source table word
22,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x58,0x02,0xFF,stage2 slot 17,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,250,KNOWN_FINAL_VALUE,enabled stage-2 source table word
23,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x59,0x11,0xFF,stage2 slot 18,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,251,KNOWN_FINAL_VALUE,enabled stage-2 source table word
24,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0xB8,0xB9,0xFF,stage2 slot 19,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,252,KNOWN_FINAL_VALUE,enabled stage-2 source table word
25,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0xC8,0x04,0xFF,stage2 slot 20,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,253,KNOWN_FINAL_VALUE,enabled stage-2 source table word
26,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x0A,0x74,0x02,0xFF,stage2 slot 21,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,254,KNOWN_FINAL_VALUE,enabled stage-2 source table word
27,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x09,0x64,0x98,0xFF,stage2 slot 22,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,255,KNOWN_FINAL_VALUE,enabled stage-2 source table word
28,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x09,0x6A,0x18,0xFF,stage2 slot 23,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,256,KNOWN_FINAL_VALUE,enabled stage-2 source table word
29,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x09,0x6B,0xFF,0xFF,stage2 slot 24,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,257,KNOWN_FINAL_VALUE,enabled stage-2 source table word
30,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x09,0x80,0x00,0xFF,stage2 slot 25,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,258,KNOWN_FINAL_VALUE,enabled stage-2 source table word
