ActionIndex,ReferenceOrder,ActionID,ActionType,Bank,Register,Value,Mask,DelayMs,Phase,DifferentialClass,SemanticPurpose,RecoveryClass,RecoveryAction,Authority,AuthorityBlocker
1,9,ACT-001,BANK_SELECT,GLOBAL,0xFF,0x05,0xFF,0,COMMON,REQUIRED_SEQUENCE_REWRITE,enter atomic bank group for the next retained action,EXACT_READ_RESTORE,capture entry bank before first action; restore and verify on every terminal path,nvp6134_set_common_value:2081; current-v41 atomic bank-group contract,
2,12,ACT-002,WRITE,0x05,0x05,0x24,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_set_common_value:2084; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
3,13,ACT-003,WRITE,0x05,0x08,0x50,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x70 and require ACK/NACK_error=0,nvp6134_set_common_value:2085; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
4,15,ACT-004,WRITE,0x05,0x11,0x06,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x04 and require ACK/NACK_error=0,nvp6134_set_common_value:2087; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
5,18,ACT-005,WRITE,0x05,0x0E,0x30,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_set_common_value:2090; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
6,25,ACT-006,BANK_SELECT,GLOBAL,0xFF,0x09,0xFF,0,COMMON,REQUIRED_SEQUENCE_REWRITE,enter atomic bank group for the next retained action,EXACT_READ_RESTORE,capture entry bank before first action; restore and verify on every terminal path,nvp6134_set_common_value:2102; current-v41 atomic bank-group contract,
7,26,ACT-007,WRITE,0x09,0x64,0xB8,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x98 and require ACK/NACK_error=0,nvp6134_set_common_value:2103; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
8,28,ACT-008,WRITE,0x09,0x6B,0x50,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0xFF and require ACK/NACK_error=0,nvp6134_set_common_value:2105; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
9,29,ACT-009,WRITE,0x09,0x6C,0xC0,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_set_common_value:2106; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
10,33,ACT-010,BANK_SELECT,GLOBAL,0xFF,0x0A,0xFF,0,COMMON,REQUIRED_SEQUENCE_REWRITE,enter atomic bank group for the next retained action,EXACT_READ_RESTORE,capture entry bank before first action; restore and verify on every terminal path,nvp6134_set_common_value:2114; current-v41 atomic bank-group contract,
