RegisterIndex,Bank,Register,TouchCount,CurrentBaselineClass,CurrentBaselineValue,RecoveryClass,RecoveryAction,ReadAuthority,ProductReconstructionAuthority,FinalDisposition,UnresolvedReason
1,GLOBAL,0xFF,10,SYMBOLIC_UNKNOWN_BITS,CAPTURED_ENTRY_BANK,EXACT_READ_RESTORE,"capture once; restore and verify on success, abort and failure",CURRENT_V41_PROVEN,NOT_NEEDED,AUTHORIZED,
2,0x00,0x18,1,KNOWN_FINAL_VALUE,0x14,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x14 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
3,0x00,0x21,1,KNOWN_FINAL_VALUE,0x02,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x02 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
4,0x00,0x22,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
5,0x00,0x58,1,KNOWN_FINAL_VALUE,0x30,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x30 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
6,0x00,0x5C,1,KNOWN_FINAL_VALUE,0x1E,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x1E and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
7,0x00,0x64,1,KNOWN_FINAL_VALUE,0x2D,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x2D and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
8,0x00,0x8E,1,KNOWN_FINAL_VALUE,0x30,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x30 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
9,0x00,0xA0,1,KNOWN_FINAL_VALUE,0x18,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x18 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
10,0x02,0x02,1,KNOWN_FINAL_VALUE,0x03,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x03 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
11,0x02,0x28,1,KNOWN_FINAL_VALUE,0x00,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x00 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
12,0x02,0x29,1,KNOWN_FINAL_VALUE,0x2D,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x2D and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
13,0x02,0x2A,1,KNOWN_FINAL_VALUE,0x0C,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x0C and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
14,0x02,0x2C,1,KNOWN_FINAL_VALUE,0x27,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x27 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
15,0x05,0x01,1,KNOWN_FINAL_VALUE,0x00,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x00 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
16,0x05,0x05,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
17,0x05,0x08,1,KNOWN_FINAL_VALUE,0x70,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x70 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
18,0x05,0x0E,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
19,0x05,0x11,1,KNOWN_FINAL_VALUE,0x04,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x04 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
20,0x05,0x1B,1,KNOWN_FINAL_VALUE,0x20,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x20 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
21,0x05,0x20,1,KNOWN_FINAL_VALUE,0x84,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x84 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
