ScenarioIndex,ActionIndex,ActionID,FailureType,CommittedFunctionalRegisters,CommittedProhibitedRegisters,RecoveryPath,TerminalState,AuthorityReason
1,1,ACT-001,BEFORE_OPERATION,0,0,ABORTING->EXACT_RESTORE->BASELINE_VERIFY->RECOVERED->RECOVERED_PRODUCT_BASELINE,RECOVERED_PRODUCT_BASELINE,all committed targets have deterministic recovery authority
2,1,ACT-001,NACK,0,0,ABORTING->EXACT_RESTORE->BASELINE_VERIFY->RECOVERED->RECOVERED_PRODUCT_BASELINE,RECOVERED_PRODUCT_BASELINE,all committed targets have deterministic recovery authority
3,1,ACT-001,TIMEOUT,0,0,ABORTING->EXACT_RESTORE->BASELINE_VERIFY->RECOVERED->RECOVERED_PRODUCT_BASELINE,RECOVERED_PRODUCT_BASELINE,all committed targets have deterministic recovery authority
4,1,ACT-001,READBACK_MISMATCH,0,0,ABORTING->EXACT_RESTORE->BASELINE_VERIFY->RECOVERED->RECOVERED_PRODUCT_BASELINE,RECOVERED_PRODUCT_BASELINE,all committed targets have deterministic recovery authority
5,1,ACT-001,HOST_ABORT,0,0,ABORTING->EXACT_RESTORE->BASELINE_VERIFY->RECOVERED->RECOVERED_PRODUCT_BASELINE,RECOVERED_PRODUCT_BASELINE,all committed targets have deterministic recovery authority
6,1,ACT-001,RESET,0,0,ABORTING->EXACT_RESTORE->BASELINE_VERIFY->RECOVERED->RECOVERED_PRODUCT_BASELINE,RECOVERED_PRODUCT_BASELINE,all committed targets have deterministic recovery authority
7,1,ACT-001,SCANNER_CONFLICT,0,0,ABORTING->EXACT_RESTORE->BASELINE_VERIFY->RECOVERED->RECOVERED_PRODUCT_BASELINE,RECOVERED_PRODUCT_BASELINE,all committed targets have deterministic recovery authority
8,1,ACT-001,MMIO_RESET,0,0,ABORTING->EXACT_RESTORE->BASELINE_VERIFY->RECOVERED->RECOVERED_PRODUCT_BASELINE,RECOVERED_PRODUCT_BASELINE,all committed targets have deterministic recovery authority
9,2,ACT-002,BEFORE_OPERATION,0,0,ABORTING->EXACT_RESTORE->BASELINE_VERIFY->RECOVERED->RECOVERED_PRODUCT_BASELINE,RECOVERED_PRODUCT_BASELINE,all committed targets have deterministic recovery authority
10,2,ACT-002,NACK,1,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
11,2,ACT-002,TIMEOUT,1,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
12,2,ACT-002,READBACK_MISMATCH,1,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
13,2,ACT-002,HOST_ABORT,1,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
14,2,ACT-002,RESET,1,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
15,2,ACT-002,SCANNER_CONFLICT,1,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
16,2,ACT-002,MMIO_RESET,1,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
17,3,ACT-003,BEFORE_OPERATION,1,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
18,3,ACT-003,NACK,2,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
