Bank,Register,TargetValue,KnownMask,TargetFieldClass,LastReferenceOrder,Phase,Authority,Compatibility
0x00,0x00,0x00,0xFF,KNOWN_FINAL_VALUE,211,POST_MODE,nvp6134_set_chnmode:1181,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0x08,0x00,0xFF,KNOWN_FINAL_VALUE,115,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3479,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0x0C,0x08,0xFF,KNOWN_FINAL_VALUE,63,FHD_COMMON,nvp6134_setchn_common_fhd:3405,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0x10,0x88,0xFF,KNOWN_FINAL_VALUE,64,FHD_COMMON,nvp6134_setchn_common_fhd:3406,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0x14,0x90,0xFF,KNOWN_FINAL_VALUE,65,FHD_COMMON,nvp6134_setchn_common_fhd:3407,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0x18,0x30,0xFF,KNOWN_FINAL_VALUE,114,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3478,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0x21,0x82,0xFF,KNOWN_FINAL_VALUE,67,FHD_COMMON,nvp6134_setchn_common_fhd:3409,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0x22,0x0B,0xFF,KNOWN_FINAL_VALUE,68,FHD_COMMON,nvp6134_setchn_common_fhd:3410,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0x23,0x43,0xFF,KNOWN_FINAL_VALUE,4,COMMON,nvp6134_set_common_value:2073,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0x30,0x10,0xFF,KNOWN_FINAL_VALUE,123,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3490,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0x34,0x02,0xFF,KNOWN_FINAL_VALUE,6,COMMON,nvp6134_set_common_value:2075,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0x3C,0x84,0xFF,KNOWN_FINAL_VALUE,69,FHD_COMMON,nvp6134_setchn_common_fhd:3411,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0x40,0x00,0xFF,KNOWN_FINAL_VALUE,116,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3480,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0x44,0x00,0xFF,KNOWN_FINAL_VALUE,70,FHD_COMMON,nvp6134_setchn_common_fhd:3412,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0x48,0x00,0xFF,KNOWN_FINAL_VALUE,71,FHD_COMMON,nvp6134_setchn_common_fhd:3413,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0x4C,0x00,0xFF,KNOWN_FINAL_VALUE,72,FHD_COMMON,nvp6134_setchn_common_fhd:3414,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0x50,0x00,0xFF,KNOWN_FINAL_VALUE,73,FHD_COMMON,nvp6134_setchn_common_fhd:3415,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0x58,0x7D,0xFF,KNOWN_FINAL_VALUE,124,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3491,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0x5C,0x9E,0xFF,KNOWN_FINAL_VALUE,125,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3492,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0x64,0x80,0xFF,KNOWN_FINAL_VALUE,126,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3493,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0x81,0x03,0xFF,KNOWN_FINAL_VALUE,117,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3481,PROVEN_REGISTER_VALUE
0x00,0x85,0x00,0xFF,KNOWN_FINAL_VALUE,118,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3482,PROVEN_REGISTER_VALUE
0x00,0x89,0x10,0xFF,KNOWN_FINAL_VALUE,127,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3494,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0x8E,0x00,0xFF,KNOWN_FINAL_VALUE,128,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3495,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0x93,0x00,0xFF,KNOWN_FINAL_VALUE,7,COMMON,nvp6134_set_common_value:2076,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0xA0,0x09,0xFF,KNOWN_FINAL_VALUE,129,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3496,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x00,0xA4,0x00,0xFF,KNOWN_FINAL_VALUE,130,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3497,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x01,0x84,0x00,0xFF,KNOWN_FINAL_VALUE,111,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3473,PROVEN_REGISTER_VALUE
0x01,0x8C,0x40,0xFF,KNOWN_FINAL_VALUE,112,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3474,PROVEN_REGISTER_VALUE
0x01,0xED,CURRENT & 0xFE,0x01,KNOWN_MASKED_VALUE,95,FHD_COMMON,nvp6134_setchn_common_fhd:3443,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x02,0x02,0x23,0xFF,KNOWN_FINAL_VALUE,97,FHD_COMMON,nvp6134_setchn_common_fhd:3447,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x02,0x28,0x10,0xFF,KNOWN_FINAL_VALUE,98,FHD_COMMON,nvp6134_setchn_common_fhd:3448,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x02,0x29,0x78,0xFF,KNOWN_FINAL_VALUE,99,FHD_COMMON,nvp6134_setchn_common_fhd:3449,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x02,0x2A,0x2D,0xFF,KNOWN_FINAL_VALUE,100,FHD_COMMON,nvp6134_setchn_common_fhd:3450,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x02,0x2B,0x06,0xFF,KNOWN_FINAL_VALUE,101,FHD_COMMON,nvp6134_setchn_common_fhd:3451,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x02,0x2C,0x72,0xFF,KNOWN_FINAL_VALUE,102,FHD_COMMON,nvp6134_setchn_common_fhd:3452,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x00,0xC0,0xFF,KNOWN_FINAL_VALUE,56,FHD_COMMON,nvp6134_setchn_common_fhd:3396,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x01,0x03,0xFF,KNOWN_FINAL_VALUE,57,FHD_COMMON,nvp6134_setchn_common_fhd:3397,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x05,0x24,0xFF,KNOWN_FINAL_VALUE,12,COMMON,nvp6134_set_common_value:2084,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x08,0x50,0xFF,KNOWN_FINAL_VALUE,13,COMMON,nvp6134_set_common_value:2085,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x0E,0x30,0xFF,KNOWN_FINAL_VALUE,18,COMMON,nvp6134_set_common_value:2090,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x11,0x06,0xFF,KNOWN_FINAL_VALUE,15,COMMON,nvp6134_set_common_value:2087,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x1B,0x08,0xFF,KNOWN_FINAL_VALUE,136,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3506,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x20,0x90,0xFF,KNOWN_FINAL_VALUE,137,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3507,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x23,0x00,0xFF,KNOWN_FINAL_VALUE,16,COMMON,nvp6134_set_common_value:2088,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x24,0x10,0xFF,KNOWN_FINAL_VALUE,138,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3508,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x25,0xDC,0xFF,KNOWN_FINAL_VALUE,139,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3509,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x26,0xF0,0xFF,KNOWN_FINAL_VALUE,140,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3510,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x27,0x57,0xFF,KNOWN_FINAL_VALUE,78,FHD_COMMON,nvp6134_setchn_common_fhd:3422,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x29,0x00,0xFF,KNOWN_FINAL_VALUE,141,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3511,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x2A,0x52,0xFF,KNOWN_FINAL_VALUE,142,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3512,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x2B,0xA8,0xFF,KNOWN_FINAL_VALUE,84,FHD_COMMON,nvp6134_setchn_common_fhd:3428,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x47,0x04,0xFF,KNOWN_FINAL_VALUE,120,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3485,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x50,0x84,0xFF,KNOWN_FINAL_VALUE,121,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3486,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x57,0x00,0xFF,KNOWN_FINAL_VALUE,81,FHD_COMMON,nvp6134_setchn_common_fhd:3425,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x58,0x03,0xFF,KNOWN_FINAL_VALUE,143,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3513,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x59,0x11,0xFF,KNOWN_FINAL_VALUE,198,EQ_INIT,eq_init_each_format:82,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x5B,0x03,0xFF,KNOWN_FINAL_VALUE,60,FHD_COMMON,nvp6134_setchn_common_fhd:3400,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x5F,0x00,0xFF,KNOWN_FINAL_VALUE,144,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3515,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x69,0x00,0xFF,KNOWN_FINAL_VALUE,61,FHD_COMMON,nvp6134_setchn_common_fhd:3401,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x6E,0x10,0xFF,KNOWN_FINAL_VALUE,91,FHD_COMMON,nvp6134_setchn_common_fhd:3437,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x6F,0x2A,0xFF,KNOWN_FINAL_VALUE,92,FHD_COMMON,nvp6134_setchn_common_fhd:3438,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x75,0x00,0xFF,KNOWN_FINAL_VALUE,145,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3516,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x76,0x00,0xFF,KNOWN_FINAL_VALUE,80,FHD_COMMON,nvp6134_setchn_common_fhd:3424,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x84,0x01,0xFF,KNOWN_FINAL_VALUE,146,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3517,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x86,0x20,0xFF,KNOWN_FINAL_VALUE,147,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3518,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x90,0x01,0xFF,KNOWN_FINAL_VALUE,148,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3519,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0x9B,0x80,0xFF,KNOWN_FINAL_VALUE,149,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3520,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0xB5,0x00,0xFF,KNOWN_FINAL_VALUE,150,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3521,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0xB7,0xFF,0xFF,KNOWN_FINAL_VALUE,151,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3522,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0xB8,0x38,0xFF,KNOWN_FINAL_VALUE,152,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3523,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0xBB,0x04,0xFF,KNOWN_FINAL_VALUE,153,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3524,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0xC0,0x17,0xFF,KNOWN_FINAL_VALUE,200,EQ_INIT,eq_init_each_format:133,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0xC1,0x13,0xFF,KNOWN_FINAL_VALUE,201,EQ_INIT,eq_init_each_format:134,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0xC8,0x04,0xFF,KNOWN_FINAL_VALUE,202,EQ_INIT,eq_init_each_format:135,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0xD1,0x20,0xFF,KNOWN_FINAL_VALUE,154,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3525,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x05,0xD4,0x00,0xFF,KNOWN_FINAL_VALUE,86,FHD_COMMON,nvp6134_setchn_common_fhd:3430,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x09,0x40,0x00,0xFF,KNOWN_FINAL_VALUE,209,POST_MODE,nvp6134_set_chnmode:1177,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x09,0x44,CURRENT & 0xFE,0x01,KNOWN_MASKED_VALUE,106,FHD_COMMON,nvp6134_setchn_common_fhd:3458,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x09,0x50,0xAB,0xFF,KNOWN_FINAL_VALUE,156,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3529,PROVEN_REGISTER_VALUE
0x09,0x51,0x7D,0xFF,KNOWN_FINAL_VALUE,157,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3530,PROVEN_REGISTER_VALUE
0x09,0x52,0xC3,0xFF,KNOWN_FINAL_VALUE,158,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3531,PROVEN_REGISTER_VALUE
0x09,0x53,0x52,0xFF,KNOWN_FINAL_VALUE,159,AHD1080P25,nvp6134_setchn_ahd_1080p2530:3532,PROVEN_REGISTER_VALUE
0x09,0x64,0xB8,0xFF,KNOWN_FINAL_VALUE,26,COMMON,nvp6134_set_common_value:2103,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x09,0x6A,0x18,0xFF,KNOWN_FINAL_VALUE,27,COMMON,nvp6134_set_common_value:2104,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x09,0x6B,0x50,0xFF,KNOWN_FINAL_VALUE,28,COMMON,nvp6134_set_common_value:2105,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x09,0x6C,0xC0,0xFF,KNOWN_FINAL_VALUE,29,COMMON,nvp6134_set_common_value:2106,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
0x09,0x80,0x00,0xFF,KNOWN_FINAL_VALUE,31,COMMON,nvp6134_set_common_value:2111,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
