ReferenceOrder,OperationID,Phase,Category,OperationType,Bank,Register,Value,Mask,Condition,DelayMs,SemanticPurpose,Authority,SourceFunction,SourceLine,NVP6134CCompatibility
1,REF-001,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,BANK_SELECT,UNKNOWN_ENTRY_BANK,0xFF,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2070,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
2,REF-002,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x00,0x00,0x10,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2071,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
3,REF-003,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x00,0x22,0x0B,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2072,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
4,REF-004,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x00,0x23,0x43,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2073,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
5,REF-005,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x00,0x30,0x10,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2074,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
6,REF-006,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x00,0x34,0x02,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2075,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
7,REF-007,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x00,0x93,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2076,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
8,REF-008,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x00,0xA4,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2077,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
9,REF-009,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,BANK_SELECT,0x00,0xFF,0x05,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2081,PROVEN_REGISTER_VALUE
10,REF-010,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x00,0xC0,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2082,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
11,REF-011,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x01,0x02,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2083,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
