OperationIndex,OperationID,SourceSemanticFunction,Bank,Register,OperationType,Value,Mask,PreservedBits,Condition,DelayBefore,DelayAfter,RequiredInitialState,ExpectedReadback,ReadbackMask,RecoveryClass,RecoveryAction,EvidenceAuthority,Confidence,IncludedInMinimumMode1,ExclusionReason
1,MODE1_0001_COMMON_BANK_SELECT,nvp6134_set_common_value,UNKNOWN_ENTRY_BANK,0xFF,WRITE_FULL,0x00,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x00,0xFF,EXACT_READ_RESTORE,RESTORE_CAPTURED_ENTRY_BANK_AND_VERIFY,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
2,MODE1_0002_COMMON_WRITE,nvp6134_set_common_value,0x00,0x00,WRITE_FULL,0x10,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x10,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
3,MODE1_0003_COMMON_WRITE,nvp6134_set_common_value,0x00,0x22,WRITE_FULL,0x0B,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x0B,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
4,MODE1_0004_COMMON_WRITE,nvp6134_set_common_value,0x00,0x23,WRITE_FULL,0x43,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x43,0xFF,EXACT_READ_RESTORE,RESTORE_CAPTURED_FULL_BYTE_THEN_VERIFY_0xFF,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
5,MODE1_0005_COMMON_WRITE,nvp6134_set_common_value,0x00,0x30,WRITE_FULL,0x10,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x10,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
6,MODE1_0006_COMMON_WRITE,nvp6134_set_common_value,0x00,0x34,WRITE_FULL,0x02,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x02,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
7,MODE1_0007_COMMON_WRITE,nvp6134_set_common_value,0x00,0x93,WRITE_FULL,0x00,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x00,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
8,MODE1_0008_COMMON_WRITE,nvp6134_set_common_value,0x00,0xA4,WRITE_FULL,0x00,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x00,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
9,MODE1_0009_COMMON_BANK_SELECT,nvp6134_set_common_value,0x00,0xFF,WRITE_FULL,0x05,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x05,0xFF,EXACT_READ_RESTORE,RESTORE_CAPTURED_ENTRY_BANK_AND_VERIFY,SCAN0_SEMANTIC_MANIFEST; NVP6134C_DATASHEET; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC,YES,
10,MODE1_0010_COMMON_WRITE,nvp6134_set_common_value,0x05,0x00,WRITE_FULL,0xC0,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0xC0,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
