ScenarioIndex,OperationIndex,OperationID,FailureType,CommittedRegisterCount,UnresolvedCommittedRegisterCount,RecoveryPath,TerminalState,ClassificationReason
1,1,MODE1_0001_COMMON_BANK_SELECT,FAILURE_BEFORE_WRITE,0,0,ABORTING->EXACT_RESTORE->BASELINE_VERIFY->RECOVERED_PRODUCT_BASELINE,RECOVERED_PRODUCT_BASELINE,NO_UNRESOLVED_FUNCTIONAL_REGISTER_MAY_HAVE_COMMITTED
2,1,MODE1_0001_COMMON_BANK_SELECT,NACK_DURING_WRITE,0,0,ABORTING->EXACT_RESTORE->BASELINE_VERIFY->RECOVERED_PRODUCT_BASELINE,RECOVERED_PRODUCT_BASELINE,NO_UNRESOLVED_FUNCTIONAL_REGISTER_MAY_HAVE_COMMITTED
3,1,MODE1_0001_COMMON_BANK_SELECT,TIMEOUT_DURING_WRITE,0,0,ABORTING->EXACT_RESTORE->BASELINE_VERIFY->RECOVERED_PRODUCT_BASELINE,RECOVERED_PRODUCT_BASELINE,NO_UNRESOLVED_FUNCTIONAL_REGISTER_MAY_HAVE_COMMITTED
4,1,MODE1_0001_COMMON_BANK_SELECT,READBACK_MISMATCH,0,0,ABORTING->EXACT_RESTORE->BASELINE_VERIFY->RECOVERED_PRODUCT_BASELINE,RECOVERED_PRODUCT_BASELINE,NO_UNRESOLVED_FUNCTIONAL_REGISTER_MAY_HAVE_COMMITTED
5,1,MODE1_0001_COMMON_BANK_SELECT,RESET_BETWEEN_OPERATIONS,0,0,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
6,1,MODE1_0001_COMMON_BANK_SELECT,HOST_ABORT,0,0,ABORTING->EXACT_RESTORE->BASELINE_VERIFY->RECOVERED_PRODUCT_BASELINE,RECOVERED_PRODUCT_BASELINE,NO_UNRESOLVED_FUNCTIONAL_REGISTER_MAY_HAVE_COMMITTED
7,1,MODE1_0001_COMMON_BANK_SELECT,MMIO_RESET,0,0,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
8,2,MODE1_0002_COMMON_WRITE,FAILURE_BEFORE_WRITE,0,0,ABORTING->EXACT_RESTORE->BASELINE_VERIFY->RECOVERED_PRODUCT_BASELINE,RECOVERED_PRODUCT_BASELINE,NO_UNRESOLVED_FUNCTIONAL_REGISTER_MAY_HAVE_COMMITTED
9,2,MODE1_0002_COMMON_WRITE,NACK_DURING_WRITE,1,1,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00
10,2,MODE1_0002_COMMON_WRITE,TIMEOUT_DURING_WRITE,1,1,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00
11,2,MODE1_0002_COMMON_WRITE,READBACK_MISMATCH,1,1,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00
12,2,MODE1_0002_COMMON_WRITE,RESET_BETWEEN_OPERATIONS,1,1,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
13,2,MODE1_0002_COMMON_WRITE,HOST_ABORT,1,1,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00
14,2,MODE1_0002_COMMON_WRITE,MMIO_RESET,1,1,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
15,3,MODE1_0003_COMMON_WRITE,FAILURE_BEFORE_WRITE,1,1,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00
16,3,MODE1_0003_COMMON_WRITE,NACK_DURING_WRITE,2,2,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22
17,3,MODE1_0003_COMMON_WRITE,TIMEOUT_DURING_WRITE,2,2,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22
18,3,MODE1_0003_COMMON_WRITE,READBACK_MISMATCH,2,2,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22
