GlobalSequenceNumber,ConfigurationLayer,SourceFile,SourceLine,SourceSymbol,Channel,LogicalChannelIndex,ExpectedPrivateBank,SelectedBankBefore,BankSelectWrite,RegisterAddress,Operation,WriteData,WriteMask,ReadModifyWrite,KnownInitialBits,SymbolicUnknownBits,ComputedFinalValue,DelayBefore,DelayAfter,Condition,Reason,AuthorityReference
1,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_i2c_bringup.vhd,974,PREINIT_READ_ORIGINAL,GLOBAL,N/A,N/A,UNSELECTED,NO,0xFF,READ,N/A,N/A,NO,N/A,AUTOINIT_ENTRY_BANK,READBACK,0,0,ALWAYS,capture entry bank before fixed autoinit,nvp6134c_i2c_bringup.vhd:972-995
2,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_i2c_bringup.vhd,979,PREINIT_FORCE_BANK0_WRITE,GLOBAL,N/A,N/A,UNSELECTED,YES,0xFF,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,force known physical Bank0,nvp6134c_i2c_bringup.vhd:979-986
3,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_i2c_bringup.vhd,988,PREINIT_FORCE_BANK0_VERIFY,GLOBAL,N/A,N/A,0x00,NO,0xFF,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,verify Bank0,nvp6134c_i2c_bringup.vhd:988-995
4,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,233,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x80,WRITE,0x0F,0xFF,NO,N/A,NONE,0x0F,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:233; bringup:997-1070
5,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_i2c_bringup.vhd,1035,INIT_BANK_WRITE,GLOBAL,N/A,N/A,0x00,YES,0xFF,WRITE,0x01,0xFF,NO,N/A,NONE,0x01,0,0,ALWAYS,select physical bank 0x01 for logical table target,nvp6134c_i2c_bringup.vhd:1028-1069
6,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_i2c_bringup.vhd,1056,INIT_BANK_VERIFY,GLOBAL,N/A,N/A,0x01,NO,0xFF,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,verify physical bank 0x01,nvp6134c_i2c_bringup.vhd:1056-1062
7,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,234,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x01,NO,0xCA,WRITE,0x66,0xFF,NO,N/A,NONE,0x66,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:234; bringup:997-1070
8,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_i2c_bringup.vhd,1035,INIT_BANK_WRITE,GLOBAL,N/A,N/A,0x01,YES,0xFF,WRITE,0x03,0xFF,NO,N/A,NONE,0x03,0,0,ALWAYS,select physical bank 0x03 for logical table target,nvp6134c_i2c_bringup.vhd:1028-1069
9,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_i2c_bringup.vhd,1056,INIT_BANK_VERIFY,GLOBAL,N/A,N/A,0x03,NO,0xFF,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,verify physical bank 0x03,nvp6134c_i2c_bringup.vhd:1056-1062
10,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,235,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x03,NO,0x6B,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:235; bringup:997-1070
11,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,236,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x03,NO,0x3A,WRITE,0x01,0xFF,NO,N/A,NONE,0x01,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:236; bringup:997-1070
12,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,238,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x03,NO,0x3A,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,10 ms (table word FE03E8),0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:238; bringup:997-1070
13,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_i2c_bringup.vhd,1035,INIT_BANK_WRITE,GLOBAL,N/A,N/A,0x03,YES,0xFF,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,select physical bank 0x00 for logical table target,nvp6134c_i2c_bringup.vhd:1028-1069
