sample,utc,elapsed_seconds,ssh_tcp_22,controller_lock
1,2026-09-06T07:07:54.9070207Z,1.062,DOWN,HELD
2,2026-09-06T07:07:57.9962398Z,4.102,DOWN,HELD
3,2026-09-06T07:08:01.0169490Z,7.125,DOWN,HELD
4,2026-09-06T07:08:04.0274138Z,10.131,DOWN,HELD
5,2026-09-06T07:08:07.0442350Z,13.149,DOWN,HELD
6,2026-09-06T07:08:10.0553695Z,16.158,DOWN,HELD
7,2026-09-06T07:08:13.0723163Z,19.185,DOWN,HELD
8,2026-09-06T07:08:16.0897148Z,22.2,DOWN,HELD
9,2026-09-06T07:08:19.1219870Z,25.241,DOWN,HELD
10,2026-09-06T07:08:22.1558690Z,28.26,DOWN,HELD
11,2026-09-06T07:08:25.1682075Z,30.274,UP,HELD
