metric,value,unit,status
warmup_duration,N/A,seconds,NOT_REACHED
measured_duration,N/A,seconds,NOT_REACHED
drain_duration,N/A,seconds,NOT_REACHED
warmup_records,N/A,records,NOT_REACHED
measured_records,N/A,records,NOT_REACHED
drain_records,N/A,records,NOT_REACHED
complete_frames,N/A,frames,NOT_REACHED
incomplete_leading_frame_fragments,N/A,fragments,NOT_REACHED
incomplete_trailing_frame_fragments,N/A,fragments,NOT_REACHED
records_per_second,N/A,records_per_second,NOT_REACHED
complete_frames_per_second,N/A,frames_per_second,NOT_REACHED
application_payload,N/A,MB_per_second_decimal,NOT_REACHED
transport_throughput,N/A,MB_per_second_decimal,NOT_REACHED
total_bytes_read,0,bytes,NOT_REACHED
parser_throughput,N/A,MB_per_second_decimal,NOT_REACHED
global_sequence_gaps,N/A,count,NOT_REACHED
channel_attempt_gaps,N/A,count,NOT_REACHED
malformed_records,N/A,count,NOT_REACHED
padding_errors,N/A,count,NOT_REACHED
unexplained_gaps,N/A,count,NOT_REACHED
discontinuities,N/A,count,NOT_REACHED
duplicates,N/A,count,NOT_REACHED
unexpected_epoch_changes,N/A,count,NOT_REACHED
overflow_events,N/A,count,NOT_REACHED
formatter_fatal,N/A,value,NOT_REACHED
ownership_fatal,N/A,value,NOT_REACHED
transport_fatal,N/A,value,NOT_REACHED
host_read_timeouts,N/A,count,NOT_REACHED
short_read_events,N/A,count,NOT_REACHED
pcie_link_changes,N/A,count,NOT_REACHED
aer_deltas,N/A,count,NOT_REACHED
