metric,value,unit,status
primary_records_requested,2500,records,PLANNED
primary_records_received,N/A,records,NOT_REACHED
drain_records,N/A,records,NOT_REACHED
complete_records_validated,N/A,records,NOT_REACHED
sequence_gaps,N/A,count,NOT_REACHED
unexplained_sequence_gaps,N/A,count,NOT_REACHED
sequence_duplicates,N/A,count,NOT_REACHED
padding_errors,N/A,count,NOT_REACHED
malformed_records,N/A,count,NOT_REACHED
unexpected_epoch_changes,N/A,count,NOT_REACHED
counter_reconciliation,N/A,result,NOT_REACHED
