"node","major","minor","char_path","class_path","char_device","class_device","mode"
"/dev/xdma0_c2h_0","511","36","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_c2h_0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_c2h_0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","0o20600"
"/dev/xdma0_control","511","1","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_control","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_control","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","0o20600"
"/dev/xdma0_events_0","511","10","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","0o20600"
"/dev/xdma0_events_1","511","11","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_1","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_1","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","0o20600"
"/dev/xdma0_events_10","511","20","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_10","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_10","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","0o20600"
"/dev/xdma0_events_11","511","21","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_11","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_11","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","0o20600"
"/dev/xdma0_events_12","511","22","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_12","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_12","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","0o20600"
"/dev/xdma0_events_13","511","23","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_13","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_13","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","0o20600"
"/dev/xdma0_events_14","511","24","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_14","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_14","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","0o20600"
"/dev/xdma0_events_15","511","25","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_15","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_15","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","0o20600"
"/dev/xdma0_events_2","511","12","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_2","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_2","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","0o20600"
"/dev/xdma0_events_3","511","13","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_3","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_3","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","0o20600"
"/dev/xdma0_events_4","511","14","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_4","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_4","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","0o20600"
"/dev/xdma0_events_5","511","15","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_5","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_5","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","0o20600"
"/dev/xdma0_events_6","511","16","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_6","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_6","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","0o20600"
"/dev/xdma0_events_7","511","17","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_7","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0/xdma/xdma0_events_7","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","0o20600"
