Gate,Result
PREDECESSOR_AUTHORITY,PASS
IMMUTABLE_BOUNDARY,PASS
TOOL_BASELINE,PASS
AUTHORIZED_TOOL_DELTA,PASS
OFFLINE_SELFTEST_01_FIRST_RECORD_PERSISTENCE,FAIL
OFFLINE_SELFTEST_02_PARTIAL_READ_ASSEMBLY_PASS,NOT_REACHED
OFFLINE_SELFTEST_03_PRIMARY_2500_BOUNDARY_PASS,NOT_REACHED
OFFLINE_SELFTEST_04_DRAIN_CAPTURE_PASS,NOT_REACHED
OFFLINE_SELFTEST_05_PARENT_QUIESCENCE_HANDSHAKE_PASS,NOT_REACHED
OFFLINE_SELFTEST_06_FAILURE_PRESERVES_RAW_DATA_PASS,NOT_REACHED
OFFLINE_SELFTEST_07_EXCEPTION_DETAIL_PASS,NOT_REACHED
OFFLINE_SELFTEST_08_COMPLETE_FRAME_RECONSTRUCTION_PASS,NOT_REACHED
OFFLINE_SELFTEST_09_EXACT_CAPTURE_HASH_PASS,NOT_REACHED
OFFLINE_SELFTEST_10_NO_BLANK_BLOCKER_PASS,NOT_REACHED
OFFLINE_SELFTEST_11_NO_RAW_RECORD_IPC_PASS,NOT_REACHED
OFFLINE_SELFTEST_12_PERSISTED_FIRST_RECORD_REREAD_PROOF_PASS,NOT_REACHED
OFFLINE_SELFTEST_13_PRIMARY_PERIODIC_FSYNC_PASS,NOT_REACHED
OFFLINE_SELFTEST_14_FIRST_RECORD_DURABLE_BEFORE_PRIMARY_TARGET_PASS,NOT_REACHED
OFFLINE_SELFTEST_15_PARENT_MULTI_SAMPLE_QUIESCENCE_PASS,NOT_REACHED
OFFLINE_SELFTEST_16_SINGLE_COMBINED_SESSION_NORMALIZATION_W1C_PASS,NOT_REACHED
CAPTURE_TOOL_ARCHITECTURE_HARD_GATE,NOT_RUN
CREDENTIAL_HELPER_HARD_GATE,NOT_RUN
DUT_EXCLUSIVITY,NOT_REACHED
HARDWARE_SESSION,NOT_REACHED
ENGINEERING_GATE,BLOCKED
