Tool,SHA256,Executed
capture_r3r4.py,577CF50C59C363B1CEE760D2DBA656F8BE862ACE4C972D3999F8DEBCBF4242C6,YES
capture_r3r4_selftest.py,22F4640B3D498ACB8B6C1F47C46495326866F92F93984C684E040A4A75C1B6E8,YES
frame_reconstruct_r3r4.py,0DC2382F56E21D7717E9B05B0F52B9A399C51A2D922E6B50350A95F2621258E5,YES
abi_v1.py,2939FC522A2D9679BB720F287AC022FC48FF042CE06E20877F8E686F35909F1E,YES
V41_C2H_TRANSPORT_ABI_V1.json,AACB8F32CE3807C0A1DACD644FFFA90D214AA599F0798A700576987924E0D2B6,NO
Invoke-R3R4R4DutConnection.ps1,A1C58D8E43FCBD65AD7836FE0A1CCC00914C070A27606F37D915E9AD573DD418,NO
Collect-ImmutableBoundary.ps1,DF2C23E82FB9066E4B28D396C9AAE1089E3B6492B9FCA78052B2DA4A2290EFBC,YES
audit_tool_delta_r3r4r4.py,7662771E46B9413CAD8C0F4646DE7432F1E6E39BD4781D35173796E6373E9ECB,YES
audit_capture_architecture_r3r4r4.py,CA3FF6289014592AAC22D83943AEA5CAE764CF2DA7224B9AAA170E6B9EF81F30,NO
verify_authority_r3r4r4.py,251692F91EFF66A313C2C2E5D63B8FA8B60E035E5BD5F5933E94902F28972DDE,YES
build_evidence_r3r4r4.py,7484AC47EC84EC1A76D8919653B7A30A737E4E3DB53609399DCFE082099C3500,YES
