metric,value
primary_records_requested,2500
primary_records_received,100
primary_bytes,409600
drain_records,0
drain_bytes,0
incomplete_trailing_bytes,3584
total_complete_records,100
malformed_records,99
padding_errors,75
discontinuity_flag_records,1
primary_sha256,E3C0071AD358156E896D2CFBE990B813942F3FBF0115B3EEB52A6C4E61F93AD2
drain_sha256,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855
trailing_sha256,553387143692C04D765E25D98C94BA01BDD9F851DAE6AC4CC9006C720F57FBB9
