Timestamp,Phase,Node,BDF,Offset,Value
1788796441776900809,T2,/dev/xdma0_user,0000:01:00.0,0x0000,0xA40A0C07
1788796441783705810,T2,/dev/xdma0_user,0000:01:00.0,0x0004,0x0000400B
1788796441785317971,T2,/dev/xdma0_user,0000:01:00.0,0x0008,0x00031002
1788796441786908391,T2,/dev/xdma0_user,0000:01:00.0,0x000C,0x00010000
1788796441788496076,T2,/dev/xdma0_user,0000:01:00.0,0x0010,0x224D194E
1788796441790058515,T2,/dev/xdma0_user,0000:01:00.0,0x0014,0x5F82C85B
1788796441791653464,T2,/dev/xdma0_user,0000:01:00.0,0x0018,0xCB292975
1788796441793231982,T2,/dev/xdma0_user,0000:01:00.0,0x001C,0x61C5D5E7
1788796441794804179,T2,/dev/xdma0_user,0000:01:00.0,0x0020,0x6D28063B
1788796441796361308,T2,/dev/xdma0_user,0000:01:00.0,0x0024,0x07E90002
1788796441797934787,T2,/dev/xdma0_user,0000:01:00.0,0x0028,0x00601F49
1788796441799488469,T2,/dev/xdma0_user,0000:01:00.0,0x002C,0x00000103
1788796441801015543,T2,/dev/xdma0_user,0000:01:00.0,0x0030,0x58444D41
1788796441802594382,T2,/dev/xdma0_user,0000:01:00.0,0x0080,0x7E406C36
1788796441804152072,T2,/dev/xdma0_user,0000:01:00.0,0x0084,0x74817E7F
1788796441805730279,T2,/dev/xdma0_user,0000:01:00.0,0x0088,0x00000000
1788796441807278472,T2,/dev/xdma0_user,0000:01:00.0,0x008C,0x000000F9
1788796441808833867,T2,/dev/xdma0_user,0000:01:00.0,0x0090,0x00000000
1788796441810375818,T2,/dev/xdma0_user,0000:01:00.0,0x0094,0x00000000
1788796441811919642,T2,/dev/xdma0_user,0000:01:00.0,0x0098,0x00D608F9
1788796441813444852,T2,/dev/xdma0_user,0000:01:00.0,0x009C,0x00000000
1788796441814983968,T2,/dev/xdma0_user,0000:01:00.0,0x00A0,0x00D6F908
1788796441816519236,T2,/dev/xdma0_user,0000:01:00.0,0x00A4,0xFF0001FA
1788796441818065124,T2,/dev/xdma0_user,0000:01:00.0,0x00A8,0x00000000
1788796441819618526,T2,/dev/xdma0_user,0000:01:00.0,0x00AC,0x00000000
1788796441821181986,T2,/dev/xdma0_user,0000:01:00.0,0x00B0,0x00000000
1788796441822721503,T2,/dev/xdma0_user,0000:01:00.0,0x00B4,0x00000000
1788796444824885706,T2,/dev/xdma0_user,0000:01:00.0,0x0080,0x9900C168
1788796444832465400,T2,/dev/xdma0_user,0000:01:00.0,0x0084,0x7482CB32
1788796444835291875,T2,/dev/xdma0_user,0000:01:00.0,0x0088,0x00000000
1788796444838074379,T2,/dev/xdma0_user,0000:01:00.0,0x008C,0x000000F9
1788796444840832398,T2,/dev/xdma0_user,0000:01:00.0,0x0090,0x00000000
1788796444843467460,T2,/dev/xdma0_user,0000:01:00.0,0x0094,0x00000000
1788796444846064542,T2,/dev/xdma0_user,0000:01:00.0,0x0098,0x00D608F9
1788796444848620187,T2,/dev/xdma0_user,0000:01:00.0,0x009C,0x00000000
1788796444851099480,T2,/dev/xdma0_user,0000:01:00.0,0x00A0,0x00D6F908
1788796444853864683,T2,/dev/xdma0_user,0000:01:00.0,0x00A4,0xFF0001FA
1788796444856372329,T2,/dev/xdma0_user,0000:01:00.0,0x00A8,0x00000000
1788796444859055229,T2,/dev/xdma0_user,0000:01:00.0,0x00AC,0x00000000
1788796444861747867,T2,/dev/xdma0_user,0000:01:00.0,0x00B0,0x00000000
1788796444864353414,T2,/dev/xdma0_user,0000:01:00.0,0x00B4,0x00000000
1788796444866863906,T2,/dev/xdma0_user,0000:01:00.0,0x3800,0x43324831
1788796444869482838,T2,/dev/xdma0_user,0000:01:00.0,0x3804,0x00010000
1788796444871964115,T2,/dev/xdma0_user,0000:01:00.0,0x3808,0x000B001F
1788796444874213684,T2,/dev/xdma0_user,0000:01:00.0,0x380C,0x00000000
1788796444876724105,T2,/dev/xdma0_user,0000:01:00.0,0x3810,0x000004F4
1788796444879222394,T2,/dev/xdma0_user,0000:01:00.0,0x3814,0x00000000
1788796444881891068,T2,/dev/xdma0_user,0000:01:00.0,0x3818,0x00000000
1788796444884627056,T2,/dev/xdma0_user,0000:01:00.0,0x381C,0x00000000
1788796444887112191,T2,/dev/xdma0_user,0000:01:00.0,0x3820,0x00000000
1788796444889628283,T2,/dev/xdma0_user,0000:01:00.0,0x3824,0x00000000
1788796444892177506,T2,/dev/xdma0_user,0000:01:00.0,0x3828,0x00000000
1788796444894677087,T2,/dev/xdma0_user,0000:01:00.0,0x382C,0x00000000
1788796444897093765,T2,/dev/xdma0_user,0000:01:00.0,0x3830,0x00000000
1788796444899803525,T2,/dev/xdma0_user,0000:01:00.0,0x3834,0xFFFFFFFF
1788796444902063092,T2,/dev/xdma0_user,0000:01:00.0,0x3838,0x00000002
1788796444904658370,T2,/dev/xdma0_user,0000:01:00.0,0x383C,0x00000007
1788796444907243530,T2,/dev/xdma0_user,0000:01:00.0,0x3840,0x00000002
1788796444910123314,T2,/dev/xdma0_user,0000:01:00.0,0x3844,0x00000000
1788796444912820290,T2,/dev/xdma0_user,0000:01:00.0,0x3848,0x00000002
1788796444915607453,T2,/dev/xdma0_user,0000:01:00.0,0x384C,0x00000001
1788796444918032236,T2,/dev/xdma0_user,0000:01:00.0,0x3850,0x00000000
1788796444920694027,T2,/dev/xdma0_user,0000:01:00.0,0x3854,0x00000002
1788796444923226750,T2,/dev/xdma0_user,0000:01:00.0,0x3858,0xFFFFFFFF
1788796748276506559,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,READ,0x00000000,PASS
1788796748276638613,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3810,READ,0x000004F4,PASS
1788796748276701439,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3800,READ,0x43324831,PASS
1788796748276757052,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3804,READ,0x00010000,PASS
1788796748276805021,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3808,READ,0x000B001F,PASS
1788796748276852238,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,READ,0x00000000,PASS
1788796748276897883,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3810,READ,0x000004F4,PASS
1788796748276942886,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3814,READ,0x00000000,PASS
1788796748276993469,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3818,READ,0x00000000,PASS
1788796748277043361,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x381C,READ,0x00000000,PASS
1788796748277088264,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3820,READ,0x00000000,PASS
1788796748277132156,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3824,READ,0x00000000,PASS
1788796748277175937,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3828,READ,0x00000000,PASS
1788796748277219186,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x382C,READ,0x00000000,PASS
1788796748277262196,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3830,READ,0x00000000,PASS
1788796748277316196,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3834,READ,0xFFFFFFFF,PASS
1788796748277369735,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3838,READ,0x00000002,PASS
1788796748277424947,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x383C,READ,0x00000007,PASS
1788796748277471323,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3840,READ,0x00000002,PASS
1788796748277513991,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3844,READ,0x00000000,PASS
1788796748277555899,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3848,READ,0x00000002,PASS
1788796748277604789,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x384C,READ,0x00000001,PASS
1788796748277649712,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3850,READ,0x00000000,PASS
1788796748277691570,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3854,READ,0x00000002,PASS
1788796748277734018,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3858,READ,0xFFFFFFFF,PASS
1788796748277795532,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,WRITE,0x00000004,PASS
1788796748279754463,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,READ,0x00000000,PASS
1788796748279830654,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3810,READ,0x000000F4,PASS
1788796748279893069,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3838,READ,0x00000003,PASS
1788796748279943382,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3840,READ,0x00000002,PASS
1788796748279989999,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,READ,0x00000000,PASS
1788796748280035152,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3810,READ,0x000000F4,PASS
1788796748280081027,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x383C,READ,0x00000007,PASS
1788796748280173588,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x383C,WRITE,0x00000007,PASS
1788796748281855868,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x383C,READ,0x00000000,PASS
1788796748281921249,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3810,READ,0x000000C4,PASS
1788796748281971932,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,READ,0x00000000,PASS
1788796748282018970,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3838,READ,0x00000003,PASS
1788796748282065636,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3838,READ,0x00000003,PASS
1788796748282110168,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x384C,READ,0x00000001,PASS
1788796748282154059,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3810,READ,0x000000C4,PASS
1788796748282242232,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3844,WRITE,0x00000001,PASS
1788796748283934420,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3848,READ,0x00000002,PASS
1788796748284038503,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3814,READ,0x0000004E,PASS
1788796748284124462,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3818,READ,0x00000035,PASS
1788796748284204940,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x381C,READ,0x00000035,PASS
1788796748284284788,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3820,READ,0x00000019,PASS
1788796748284360819,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3824,READ,0x00000018,PASS
1788796748284439063,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3828,READ,0x0000000E,PASS
