Timestamp,Session,UserNode,BDF,Offset,Operation,Value,Purpose,Authorized,Precondition,Result
1788796748277795532,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,WRITE,0x00000004,RESET_STREAM_STATE,YES,DISABLED_NO_READER_NOT_RESET_BUSY,INTENT
1788796748277795532,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,WRITE,0x00000004,RESET_STREAM_STATE,YES,DISABLED_NO_READER_NOT_RESET_BUSY,PASS
1788796748280173588,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x383C,WRITE,0x00000007,SESSION_NORMALIZATION_W1C,YES,POST_RESET_QUIESCENT,INTENT
1788796748280173588,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x383C,WRITE,0x00000007,SESSION_NORMALIZATION_W1C,YES,POST_RESET_QUIESCENT,PASS
1788796748282242232,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3844,WRITE,0x00000001,COHERENT_SNAPSHOT,YES,PRE_CAPTURE_BASELINE,INTENT
1788796748282242232,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3844,WRITE,0x00000001,COHERENT_SNAPSHOT,YES,PRE_CAPTURE_BASELINE,PASS
1788796748338160224,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,WRITE,0x00000001,ENABLE_C2H,YES,RESET_SNAPSHOT_PASS_READER_READY,INTENT
1788796748338160224,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,WRITE,0x00000001,ENABLE_C2H,YES,RESET_SNAPSHOT_PASS_READER_READY,PASS
1788796748343457156,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,WRITE,0x00000000,SAFETY_DISABLE,YES,POST_ENABLE_FAILURE_CONTROL_STILL_ENABLED,INTENT
1788796748343457156,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,WRITE,0x00000000,SAFETY_DISABLE,YES,POST_ENABLE_FAILURE_CONTROL_STILL_ENABLED,PASS
1788796974454191408,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3844,WRITE,0x00000001,COHERENT_SNAPSHOT,YES,POST_FAILURE_FINAL_NO_CLEAR,INTENT
1788796974454191408,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3844,WRITE,0x00000001,COHERENT_SNAPSHOT,YES,POST_FAILURE_FINAL_NO_CLEAR,PASS
