Timestamp,MonotonicNs,Sample,Consecutive,SpanMs,BootId,LockHeld,BDF,BDFUnchanged,DriverBound,Control,Status,ErrorStatus,FatalClear,NodeHoldersAllowed,Quiescent,Accepted
1788796748376154732,69784605570525,1,1,0.0,614295f4-c62b-4430-ae67-06013bea7084,YES,0000:01:00.0,YES,YES,0x00000000,0x000004F4,0x00000007,YES,YES,YES,YES
1788796748474173754,69784703589326,2,2,98.02,614295f4-c62b-4430-ae67-06013bea7084,YES,0000:01:00.0,YES,YES,0x00000000,0x00000474,0x00000007,YES,YES,YES,YES
1788796748576314996,69784805730528,3,3,200.162,614295f4-c62b-4430-ae67-06013bea7084,YES,0000:01:00.0,YES,YES,0x00000000,0x000004F4,0x00000007,YES,YES,YES,YES
1788796748676442275,69784905857767,4,4,300.289,614295f4-c62b-4430-ae67-06013bea7084,YES,0000:01:00.0,YES,YES,0x00000000,0x000004F4,0x00000007,YES,YES,YES,YES
1788796748776812102,69785006227594,5,5,400.659,614295f4-c62b-4430-ae67-06013bea7084,YES,0000:01:00.0,YES,YES,0x00000000,0x000004F4,0x00000007,YES,YES,YES,YES
1788796996218487094,70032447902736,1,1,0.0,614295f4-c62b-4430-ae67-06013bea7084,YES,0000:01:00.0,YES,YES,0x00000000,0x000004F4,0x00000007,YES,YES,YES,YES
1788796996323370216,70032552785788,2,2,104.883,614295f4-c62b-4430-ae67-06013bea7084,YES,0000:01:00.0,YES,YES,0x00000000,0x000004F4,0x00000007,YES,YES,YES,YES
1788796996423808179,70032653223812,3,3,205.322,614295f4-c62b-4430-ae67-06013bea7084,YES,0000:01:00.0,YES,YES,0x00000000,0x000004F4,0x00000007,YES,YES,YES,YES
1788796996524008772,70032753424265,4,4,305.522,614295f4-c62b-4430-ae67-06013bea7084,YES,0000:01:00.0,YES,YES,0x00000000,0x000004F4,0x00000007,YES,YES,YES,YES
1788796996624461212,70032853876704,5,5,405.974,614295f4-c62b-4430-ae67-06013bea7084,YES,0000:01:00.0,YES,YES,0x00000000,0x000004F4,0x00000007,YES,YES,YES,YES
