Gate,Result,Detail
OWNER_CONTINUITY,PASS,ACCEPTED
DUT_LOCAL_BUILD,PASS,FF57965546A4AC86DB46558BFD9787903070D9B1399D595AF5068E98D46A853D
FOCUSED_HOST_TOOL,PASS,6/6
DRIVER_LOAD,PASS,/dev/xdma0_user and /dev/xdma0_c2h_0 created
PREQUEUE_EXECUTION,PASS,both io_submit results=1 before enable
PRIMARY_AIO,FAIL,PRIMARY_AIO_FINITE_BUFFER_NOT_FILLED:EXPECTED_10240000_ACTUAL_643072
PARENT_QUIESCENCE,PASS,5 samples/401.405 ms
HOST_PREQUEUE_HYPOTHESIS,FAIL,overflow delta=1
RECORD_PATH_INTEGRITY,NOT_REACHED,no persisted primary file
COMPLETE_FRAME,NOT_REACHED,no persisted primary file
KERNEL_HEALTH,PASS,no new fault signature
CLEANUP,BLOCKED,R3R4R6R1_ROLLBACK_UNSAFE_ACTIVE_DMA:GUARD_AIO_STILL_PENDING
ENGINEERING_GATE,FAIL,PRIMARY_AIO_FINITE_BUFFER_NOT_FILLED:EXPECTED_10240000_ACTUAL_643072
EVIDENCE_PUBLICATION,PENDING,updated after push/read-back
