Timestamp,Operation,Offset,Value,Purpose,Precondition,Authorized,Result,CompletionMonotonicNs
1788814407763567267,WRITE,0x380C,0x00000004,RESET_STREAM_STATE,S0_QUIESCENT,YES,INTENT,
1788814407763567267,WRITE,0x380C,0x00000004,RESET_STREAM_STATE,S0_QUIESCENT,YES,PASS,87443992989932
1788814407763719618,WRITE,0x383C,0x00000007,SESSION_NORMALIZATION_W1C,POST_RESET_QUIESCENT,YES,INTENT,
1788814407763719618,WRITE,0x383C,0x00000007,SESSION_NORMALIZATION_W1C,POST_RESET_QUIESCENT,YES,PASS,87443993138437
1788814407763760784,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,BASELINE_PRE_ENABLE,YES,INTENT,
1788814407763760784,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,BASELINE_PRE_ENABLE,YES,PASS,87443993178641
1788814407769398986,WRITE,0x380C,0x00000001,STREAM_ENABLE,PREQUEUE_READY,YES,INTENT,
1788814407769398986,WRITE,0x380C,0x00000001,STREAM_ENABLE,PREQUEUE_READY,YES,PASS,87443998830709
1788814407775259930,WRITE,0x380C,0x00000000,SAFETY_DISABLE,PRIMARY_AIO_RESULT_NOT_EXACT,YES,INTENT,
1788814407775259930,WRITE,0x380C,0x00000000,SAFETY_DISABLE,PRIMARY_AIO_RESULT_NOT_EXACT,YES,PASS,87444004688226
1788814696716192858,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,FINAL_FAILURE_POST_QUIESCENCE,YES,INTENT,
1788814696716192858,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,FINAL_FAILURE_POST_QUIESCENCE,YES,PASS,87732945612277
