Timestamp,Label,Operation,Offset,Value,Result
1788814407763452825,S0,READ,0x380C,0x00000000,PASS
1788814407763481929,S0,READ,0x3810,0x000004F4,PASS
1788814407763490284,S0,READ,0x3838,0x00000003,PASS
1788814407763495123,S0,READ,0x383C,0x00000007,PASS
1788814407763499672,S0,READ,0x3840,0x00000003,PASS
1788814407763505332,S0,READ,0x3814,0x000000E2,PASS
1788814407763509881,S0,READ,0x3818,0x0000009A,PASS
1788814407763514229,S0,READ,0x381C,0x0000009A,PASS
1788814407763518236,S0,READ,0x3820,0x00000048,PASS
1788814407763522494,S0,READ,0x3824,0x00000047,PASS
1788814407763530068,S0,READ,0x3828,0x00000015,PASS
1788814407763534486,S0,READ,0x382C,0x00013400,PASS
1788814407763538734,S0,READ,0x3830,0x00000000,PASS
1788814407763542841,S0,READ,0x3834,0x00000064,PASS
1788814407763546749,S0,READ,0x3850,0x00000000,PASS
1788814407763550836,S0,READ,0x3854,0x00000003,PASS
1788814407763554774,S0,READ,0x3858,0x00000093,PASS
1788814407763567267,RESET_STREAM_STATE,WRITE,0x380C,0x00000004,PASS
1788814407763578477,RESET_WAIT,READ,0x380C,0x00000000,PASS
1788814407763582635,RESET_WAIT,READ,0x3810,0x000000F4,PASS
1788814407763639510,S1,READ,0x3838,0x00000004,PASS
1788814407763643748,S1,READ,0x383C,0x00000007,PASS
1788814407763648086,S1,READ,0x3840,0x00000003,PASS
1788814407763652544,S1,READ,0x3814,0x000000E2,PASS
1788814407763656572,S1,READ,0x3818,0x0000009A,PASS
1788814407763660569,S1,READ,0x381C,0x0000009A,PASS
1788814407763667422,S1,READ,0x3820,0x00000048,PASS
1788814407763671209,S1,READ,0x3824,0x00000047,PASS
1788814407763675156,S1,READ,0x3828,0x00000015,PASS
1788814407763679164,S1,READ,0x382C,0x00013400,PASS
1788814407763683111,S1,READ,0x3830,0x00000000,PASS
1788814407763687048,S1,READ,0x3834,0xFFFFFFFF,PASS
1788814407763693129,S1,READ,0x3850,0x00000000,PASS
1788814407763697107,S1,READ,0x3854,0x00000003,PASS
1788814407763701104,S1,READ,0x3858,0xFFFFFFFF,PASS
1788814407763709790,S1_W1C_READ,READ,0x383C,0x00000007,PASS
1788814407763719618,SESSION_NORMALIZATION_W1C,WRITE,0x383C,0x00000007,PASS
1788814407763725850,S2,READ,0x383C,0x00000000,PASS
1788814407763730659,S2,READ,0x3838,0x00000004,PASS
1788814407763734816,S2,READ,0x383C,0x00000000,PASS
1788814407763738804,S2,READ,0x3840,0x00000003,PASS
1788814407763743422,BASELINE_PRE_ENABLE,READ,0x3838,0x00000004,PASS
1788814407763747500,BASELINE_PRE_ENABLE,READ,0x384C,0x00000003,PASS
1788814407763751427,BASELINE_PRE_ENABLE,READ,0x3810,0x000000C4,PASS
1788814407763760784,COHERENT_SNAPSHOT,WRITE,0x3844,0x00000001,PASS
1788814407763766214,BASELINE_PRE_ENABLE,READ,0x3848,0x00000002,PASS
1788814407763770422,BASELINE_PRE_ENABLE,READ,0x384C,0x00000004,PASS
1788814407763774840,BASELINE_PRE_ENABLE,READ,0x3814,0x000000E2,PASS
1788814407763778788,BASELINE_PRE_ENABLE,READ,0x3818,0x0000009A,PASS
1788814407763782605,BASELINE_PRE_ENABLE,READ,0x381C,0x0000009A,PASS
1788814407763788375,BASELINE_PRE_ENABLE,READ,0x3820,0x00000048,PASS
1788814407763792333,BASELINE_PRE_ENABLE,READ,0x3824,0x00000047,PASS
1788814407763796310,BASELINE_PRE_ENABLE,READ,0x3828,0x00000015,PASS
1788814407763800428,BASELINE_PRE_ENABLE,READ,0x382C,0x00013400,PASS
1788814407763804555,BASELINE_PRE_ENABLE,READ,0x3830,0x00000000,PASS
1788814407763808553,BASELINE_PRE_ENABLE,READ,0x3834,0xFFFFFFFF,PASS
1788814407763812570,BASELINE_PRE_ENABLE,READ,0x3850,0x00000000,PASS
