Gate,Result,Detail
OWNER_ATTESTATION,PASS,ACCEPTED_NOT_REVERIFIED
FRESH_RUN_ROOT,PASS,C:\FPGA\G2B_HW0_PRODUCT_R3R4R6R2R1_20260908T073817Z
CONNECTION_HELPER,PASS,SHA256=F817F3A80F04347690803B188DA3283E3424131829C71B917AE922A0F257EE1F; credentials_remnants=0
POST_REBOOT_RECONNECT,BLOCKED,R3R4R6R2R1_DUT_RECONNECT_TIMEOUT; attempts=10
STALE_STATE_RELEASE,NOT_REACHED,No successful SSH
NATIVE_HELPER_BUILD,NOT_REACHED,No successful SSH
SPEEDUP_HOST_TOOL_GATE,NOT_REACHED,0/7
DRIVER_LOAD,NOT_REACHED,0 attempts
SINGLE_REQUEST_CHARACTERIZATION,NOT_REACHED,0/7
MULTI_REQUEST_FINITE_CAPTURE,NOT_REACHED,No AIO/MMIO/DMA
FRAME_RECONSTRUCTION,NOT_REACHED,No data
ENGINEERING,BLOCKED,R3R4R6R2R1_DUT_RECONNECT_TIMEOUT
