Metric,Value,Basis
RequestedRecords,2500,governed request
RequestedBytes,10240000,2500 x 4096
ExactAioCompletions,NOT_PROVEN,helper completion receipt absent
ShortAioCompletions,NOT_PROVEN,helper completion receipt absent
FailedAioCompletions,NOT_PROVEN,helper completion receipt absent
PendingAioCompletions,NOT_PROVEN,helper completion receipt absent
PrimaryBytesReceived,NOT_PROVEN,primary file absent
PrimaryRecordsReceived,NOT_PROVEN,primary file absent
PrimaryWindowComplete,FAIL,event absent at 30-second deadline
FpgaStreamedRecordsAtFailureSnapshot,2048,coherent FPGA counter; not AIO completion proof
FpgaLastGlobalAtFailureSnapshot,2047,coherent FPGA counter; not primary-file validation
