PrimaryCompleted,LastLogicalIndex,LastResultBytes,TotalCompleted,CurrentOutstanding,MonotonicNs,EvidenceClass
128,127,4096,128,1023,7425375972277,DURABLE_PROGRESS_MILESTONE
256,255,4096,256,1023,7425380542745,DURABLE_PROGRESS_MILESTONE
384,383,4096,384,1023,7425385074231,DURABLE_PROGRESS_MILESTONE
512,511,4096,512,1023,7425389696385,DURABLE_PROGRESS_MILESTONE
640,639,4096,640,1023,7425395883144,DURABLE_PROGRESS_MILESTONE
768,767,4096,768,1023,7425400434227,DURABLE_PROGRESS_MILESTONE
896,895,4096,896,1023,7425404985499,DURABLE_PROGRESS_MILESTONE
1024,1023,4096,1024,1023,7425409536462,DURABLE_PROGRESS_MILESTONE
1152,1151,4096,1152,1023,7425414087313,DURABLE_PROGRESS_MILESTONE
1280,1279,4096,1280,1023,7425418638285,DURABLE_PROGRESS_MILESTONE
1408,1407,4096,1408,1023,7425423189708,DURABLE_PROGRESS_MILESTONE
1536,1535,4096,1536,996,7425427740520,DURABLE_PROGRESS_MILESTONE
1664,1663,4096,1664,868,7425433929013,DURABLE_PROGRESS_MILESTONE
1792,1791,4096,1792,740,7425438479574,DURABLE_PROGRESS_MILESTONE
1920,1919,4096,1920,612,7425443029514,DURABLE_PROGRESS_MILESTONE
2048,2047,4096,2048,484,7425447580486,DURABLE_PROGRESS_MILESTONE
2176,2175,4096,2176,356,7425452133021,DURABLE_PROGRESS_MILESTONE
2304,2303,4096,2304,228,7425456684394,DURABLE_PROGRESS_MILESTONE
2432,2431,4096,2432,100,7425461235186,DURABLE_PROGRESS_MILESTONE
2500,2499,4096,2500,32,7425463651377,DURABLE_PROGRESS_MILESTONE
