Metric,Value,Basis
INITIAL_PREQUEUE,1024,ROLLING_PREQUEUE_READY
TOTAL_LOGICAL_SUBMITTED,2532,ROLLING_PROGRESS
MAX_OUTSTANDING,1024,PRIMARY_WINDOW_COMPLETE
MIN_OUTSTANDING_PRIMARY_WINDOW,32,PRIMARY_WINDOW_COMPLETE
DESCRIPTOR_WINDOW_VIOLATIONS,0,event invariant
DESCRIPTOR_STARVATION_EVENTS,0,rolling progress
INDEX_2048_CROSSED_SAFELY,YES,cumulative submissions
IO_SUBMIT_CALLS,1509,rolling progress
IO_GETEVENTS_CALLS,N/A,helper cleanup unresolved
TEMPORARY_EAGAIN,0,rolling progress
MAX_REFILL_LATENCY_US,26.889,rolling progress
