Timestamp,Operation,Offset,Value,Purpose,Precondition,Authorized,Result,CompletionMonotonicNs
1788865505125564527,WRITE,0x380C,0x00000004,RESET_STREAM_STATE,S0_QUIESCENT,YES,INTENT,
1788865505125564527,WRITE,0x380C,0x00000004,RESET_STREAM_STATE,S0_QUIESCENT,YES,PASS,7425355286215
1788865505125721517,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,BASELINE_PRE_ENABLE,YES,INTENT,
1788865505125721517,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,BASELINE_PRE_ENABLE,YES,PASS,7425355432476
1788865505141667367,WRITE,0x380C,0x00000001,STREAM_ENABLE,ROLLING_PREQUEUE_READY,YES,INTENT,
1788865505141667367,WRITE,0x380C,0x00000001,STREAM_ENABLE,ROLLING_PREQUEUE_READY,YES,PASS,7425371392191
1788865505257950502,WRITE,0x380C,0x00000000,NORMAL_DISABLE,PRIMARY_WINDOW_COMPLETE,YES,INTENT,
1788865505257950502,WRITE,0x380C,0x00000000,NORMAL_DISABLE,PRIMARY_WINDOW_COMPLETE,YES,PASS,7425487682399
1788865505258045267,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,PRIMARY_WINDOW_EVIDENCE,YES,INTENT,
1788865505258045267,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,PRIMARY_WINDOW_EVIDENCE,YES,PASS,7425487754914
