test_id,family,description,result,reason
SCAN1-01,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-02,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-03,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-04,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-05,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-06,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-07,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-08,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-09,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-10,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-11,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-12,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-13,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-14,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-15,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-16,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-17,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-18,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-19,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-20,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-21,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-22,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-23,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SCAN1-24,INHERITED_SCAN1,inherited gate,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
E1,ACQ1_COMPAT0,reset defaults,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
E2,ACQ1_COMPAT0,PRODUCT exclusion,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
E3,ACQ1_COMPAT0,diagnostic inclusion,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
E4,ACQ1_COMPAT0,double baseline read,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
E5,ACQ1_COMPAT0,baseline mismatch rejection,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
E6,ACQ1_COMPAT0,bank save/select/verify/restore,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
E7,ACQ1_COMPAT0,compiled APPLY_50,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
E8,ACQ1_COMPAT0,compiled APPLY_40,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
