bank,register,full_key,semantic_family,channel,read_safe_authority,derivation,manifest_membership
0x00,0x80,"(0x00,0x80)",per_channel_register_control_mask,,NVP6134C_DATASHEET,fixed_exact_key,PASS
0x00,0xF4,"(0x00,0xF4)",device_identity,,NVP6134C_DATASHEET,fixed_exact_key,PASS
0x00,0xF5,"(0x00,0xF5)",revision_identity,,NVP6134C_DATASHEET,fixed_exact_key,PASS
0x01,0x84,"(0x01,0x84)",adc_clock_delay,0,NVP6134C_DATASHEET,base_register_plus_channel,PASS
0x01,0x85,"(0x01,0x85)",adc_clock_delay,1,NVP6134C_DATASHEET,base_register_plus_channel,PASS
0x01,0x86,"(0x01,0x86)",adc_clock_delay,2,NVP6134C_DATASHEET,base_register_plus_channel,PASS
0x01,0x87,"(0x01,0x87)",adc_clock_delay,3,NVP6134C_DATASHEET,base_register_plus_channel,PASS
0x01,0x8C,"(0x01,0x8C)",pre_clock,0,NVP6134C_DATASHEET,base_register_plus_channel,PASS
0x01,0x8D,"(0x01,0x8D)",pre_clock,1,NVP6134C_DATASHEET,base_register_plus_channel,PASS
0x01,0x8E,"(0x01,0x8E)",pre_clock,2,NVP6134C_DATASHEET,base_register_plus_channel,PASS
0x01,0x8F,"(0x01,0x8F)",pre_clock,3,NVP6134C_DATASHEET,base_register_plus_channel,PASS
0x01,0x97,"(0x01,0x97)",channel_reset,PACKED_CH0_TO_CH3,NVP6134C_DATASHEET,fixed_exact_key,PASS
0x01,0x98,"(0x01,0x98)",decoder_power_clock,PACKED_CH0_TO_CH3,NVP6134C_DATASHEET,fixed_exact_key,PASS
